,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1
478,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,SHACKELFORD 39J 10H,H&P 604,OIL & GAS,SPRABERRY,TREND AREA,"10,493 ft",2021-12-18,42-329-44596,31.7957851 / -101.8976038,1500,2021-02-03,42,329,478.0,,,,
479,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,TEXAS TEN Y PU 3813H,H&P 487,OIL & GAS,SPRABERRY,TREND AREA,"10,611 ft",2021-12-30,42-329-45141,31.9016416 / -102.0414341,1500,2021-09-14,42,329,479.0,,,,
480,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,SHACKELFORD SPRABERRY UNIT 3904H,Pinnergy 4,OIL & GAS,SPRABERRY,TREND AREA,"8,685 ft",2021-12-29,42-329-44541,31.794027 / -101.8963415, ,2020-12-04,42,329,480.0,,,,
481,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,ELKIN-ESTES 34PP 116H,Patterson 807,OIL & GAS,SPRABERRY,TREND AREA,"10,645 ft",2021-12-17,42-329-45070,31.8995333 / -101.9756888,1500,2021-08-18,42,329,481.0,,,,
482,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,PRESTON 9I 109H,Patterson 251,OIL & GAS,SPRABERRY,TREND AREA,"10,499 ft",2021-12-24,42-329-45119,31.7743839 / -101.8212898,1500,2021-09-21,42,329,482.0,,,,
483,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,ELKIN-ESTES 34H 8H,H&P 643,OIL & GAS,SPRABERRY,TREND AREA,"9,510 ft",2021-12-18,42-329-45063,31.9017272 / -101.9765341,1500,2021-08-18,42,329,483.0,,,,
484,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,GERMANIA SPRABERRY UNIT 4501H,H&P 641,OIL & GAS,SPRABERRY,TREND AREA,"8,271 ft",2021-12-20,42-329-45176,32.0602097 / -101.8119131,1500,2021-09-29,42,329,484.0,,,,
485,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,TEXAS TEN Y PU 3816H,H&P 607,OIL & GAS,SPRABERRY,TREND AREA,"10,611 ft",2021-12-20,42-329-44773,31.8999558 / -102.0459736,1500,2021-03-30,42,329,485.0,,,,
486,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,SHACKELFORD 41G 7H,Pinnergy 3,OIL & GAS,SPRABERRY,TREND AREA,"9,250 ft",2021-12-29,42-329-45196,31.825046 / -101.8521049,760,2021-10-28,42,329,486.0,,,,
487,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,THUNDERBIRD BB 50-51 2H,Patterson 802,OIL & GAS,SPRABERRY,TREND AREA,"10,360 ft",2021-12-24,42-329-44662,32.02031 / -101.92339,1500,2021-02-04,42,329,487.0,,,,
488,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,TEXAS TEN Y PU 3840H,H&P 472,OIL & GAS,SPRABERRY,TREND AREA,"10,611 ft",2021-12-30,42-329-44794,31.9018635 / -102.0373803,1500,2021-03-31,42,329,488.0,,,,
489,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,HARRIS 17-20I 9H,Patterson 252,OIL & GAS,SPRABERRY,TREND AREA,"10,589 ft",2021-12-23,42-329-45233,31.655774 / -101.801591,1500,2021-11-08,42,329,489.0,,,,
490,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,PRESTON 9J 110H,Ensign T125,OIL & GAS,SPRABERRY,TREND AREA,"10,499 ft",2021-12-19,42-329-45120,31.7749154 / -101.8189128,1500,2021-09-21,42,329,490.0,,,,
491,Permian - Midland,XTO ENERGY INC.,TX,MIDLAND,01/03/2022,H,MIDKIFF 42-43 EAST UNIT 4327SH,H&P 421,OIL & GAS,SPRABERRY,TREND AREA,"10,800 ft",2021-12-30,42-329-45154,31.6894305 / -101.9316959,1500,2021-12-13,42,329,491.0,,,,
492,Permian - Midland,XTO ENERGY INC.,TX,MIDLAND,01/03/2022,H,COMANCHEROS 19-31 3116 3116AH,H&P 463,OIL & GAS,SPRABERRY,TREND AREA,"10,377 ft",2021-12-20,42-329-44849,31.8667067 / -101.8847393,1500,2021-08-17,42,329,492.0,,,,
493,Permian - Midland,XTO ENERGY INC.,TX,MIDLAND,01/03/2022,H,BOB MIDKIFF 37-48 WEST UNIT 4811AH,NABORS R801,OIL & GAS,SPRABERRY,TREND AREA,"10,800 ft",2021-12-28,42-329-45083,31.6743459 / -101.9590217, ,2021-08-31,42,329,493.0,,,,
494,Offshore,ANADARKO PETROLEUM CORPORATION,GOM,MISSISSIPPI CANYON,01/03/2022,D,009  ,Ocean BlackHawk,OIL & GAS, , , ,2021-11-22,60-817-41460,28.8935655 / -88.1040459,9000,2021-11-03,60,817,494.0,,,,
495,Offshore,BP EXPLORATION & PRODUCTION INC.,GOM,MISSISSIPPI CANYON,01/03/2022,V,003  ,Ocean BlackLion,OIL & GAS, , ,"40,000 ft",2021-12-13,60-817-41457,28.4435854 / -88.2770838,9000,2021-09-23,60,817,495.0,,,,
496,Offshore,"BP EXPLORATION & PRODUCTION, INC.",GOM,MISSISSIPPI CANYON,01/03/2022,,OCS-G 14658 2,Ocean BlackHornet,UNKNOWN, , , ,2021-11-15,60-817-409500,28.1863003 / -88.4688034,9000, ,60,817,496.0,,,,
497,Offshore,ENI US OPERATING CO. INC.,GOM,MISSISSIPPI CANYON,01/03/2022,U,G19996 A005,Nabors MODS 140,UNKNOWN,DEVILS TOWER, , ,2021-07-07,60-817-40929,28.2088678 / -88.7375749,1000,2021-06-24,60,817,497.0,,,,
498,Offshore,SHELL OFFSHORE INC.,GOM,MISSISSIPPI CANYON,01/03/2022,V,PN003  ,TO Deepwater Thalassa,OIL & GAS,WLDMC943, ,"40,000 ft",2021-07-02,60-817-41447,28.0113718 / -89.0134826,10500,2021-07-01,60,817,498.0,,,,
499,Offshore,SHELL OFFSHORE INC.,GOM,MISSISSIPPI CANYON,01/03/2022,V,P012  ,Noble Globetrotter II,OIL & GAS, , ,"40,000 ft",2021-12-13,60-817-41456,28.1775275 / -89.1171209,6160,2021-06-15,60,817,499.0,,,,
500,Offshore,SHELL OFFSHORE INC.,GOM,MISSISSIPPI CANYON,01/03/2022,V,KE001  ,TO Deepwater Pontus,OIL & GAS,MARS-URSA, ,"40,000 ft",2021-11-01,60-817-41395,28.1941805 / -89.1767796, ,2021-10-13,60,817,500.0,,,,
501,Offshore,SHELL OFFSHORE INC.,GOM,MISSISSIPPI CANYON,01/03/2022,V,IW003  ,TO Deepwater Proteus,OIL & GAS, , ,"40,000 ft",2021-11-22,60-817-41455,28.5988352 / -88.0180686,21000,2021-05-25,60,817,501.0,,,,
502,Offshore,"SHELL OFFSHORE, INC.",GOM,MISSISSIPPI CANYON,01/03/2022,,OCS-G 07963 A002,H&P 201,UNKNOWN, , , ,2021-09-17,60-817-40465,28.1691856 / -89.2229767,3000, ,60,817,502.0,,,,
503,Offshore,WALTER OIL & GAS CORPORATION,GOM,MISSISSIPPI CANYON,01/03/2022,U,G36398 001,Sevan Louisiana,UNKNOWN, , , ,2021-08-02,60-817-41442,28.309712 / -89.922557,4500,2021-07-28,60,817,503.0,,,,
504,Anadarko,PANTERA ENERGY COMPANY,TX,MOORE,01/03/2022,V,FOWLSTON 2239,Quest 211,GAS,"PANHANDLE, WEST", ,"3,700 ft",2021-12-28,42-341-33634,35.8864458 / -101.8633793,400,2021-10-01,42,341,504.0,,,,
505,Bakken,"HESS BAKKEN INVESTMENTS II, LLC",ND,MOUNTRAIL,01/03/2022,H,EN-J HORST- 154-93-111H2-4,Nabors X28,OIL & GAS,ROBINSON LAKE,BAKKEN,"21,347 ft",2021-12-24,33-061-04910,48.1781711 / -102.6099337,1500,2021-06-24,33,61,505.0,,,,
506,Bakken,"HESS BAKKEN INVESTMENTS II, LLC",ND,MOUNTRAIL,01/03/2022,H,EN-MADISYN-LE 154-94-0705H-3,Nabors X24,UNKNOWN, , , ,2021-12-23,33-061-03447,48.1709557 / -102.816391,1500, ,33,61,506.0,,,,
507,Bakken,"PETRO-HUNT, L.L.C.",ND,MOUNTRAIL,01/03/2022,H,LOVDAHL 158-94-32C-29-2H,H&P 515,CONFIDENTIAL,TIOGA, , ,2021-12-27,33-061-04660,47.733474 / -103.7590191,1500,2020-01-10,33,61,507.0,,,,
508,Bakken,"SLAWSON EXPLORATION COMPANY, INC.",ND,MOUNTRAIL,01/03/2022,H,RAINMAKER FEDERAL 8-25-36TFH,Unit 414,UNKNOWN,BIG BEND, , ,2021-12-30,33-061-04948,47.9643344 / -102.5341129,1500,2021-09-22,33,61,508.0,,,,
509,Bakken,"TALLGRASS WATER NORTH DAKOTA, LLC",ND,MOUNTRAIL,01/03/2022,V,NELSON SWD 2,Capstar 329,CONFIDENTIAL,ALKALI CREEK, , ,2021-12-12,33-061-90432,48.2003612 / -102.7842435,500,2018-11-30,33,61,509.0,,,,
510,Bakken,WHITING OIL AND GAS CORPORATION,ND,MOUNTRAIL,01/03/2022,H,KANNIANEN 43-31-2H,Patterson 808,OIL & GAS,SANISH,BAKKEN,"20,378 ft",2021-12-25,33-061-04944,48.117005 / -102.4198419,1500,2021-09-02,33,61,510.0,,,,
511,Haynesville,AETHON ENERGY OPERATING L,LA,NATCHITOCHES,01/03/2022,H,HA RA SUN;ROWELL 16-21 HC 001,Precision 561,GAS,ASHLAND,HAYNESVILLE,"23,144 ft",2021-12-28,17-069-20509,32.1109838 / -93.0885193,1500,2021-12-06,17,69,511.0,,,,
512,Haynesville,INDIGO MINERALS LLC,LA,NATCHITOCHES,01/03/2022,H,ANDER 22&15-11-10 HC 003,Patterson 586,UNKNOWN,GROGAN, ,"25,000 ft",2021-12-14,17-069-20507,31.9217557 / -93.378843,1500,2021-07-21,17,69,512.0,,,,
513,Anadarko,"PALOMINO PETROLEUM, INC.",KS,NESS,01/03/2022,V,ATLAS SHRUGGED 1,Duke 2,OIL,SARGENT SOUTHEAST,MISSISSIPPIAN,"4,600 ft",2021-12-22,15-135-26139,38.6546887 / -100.0153794,350,2021-12-17,15,135,513.0,,,,
514,Anadarko,"PALOMINO PETROLEUM, INC.",KS,NESS,01/03/2022,V,THE EMPIRE STRIKES BACK 1,Murfin 21,OIL,NONCHALANTA,MISSISSIPPIAN,"4,600 ft",2021-12-21,15-135-26137,38.3152456 / -100.1151725,550,2021-12-06,15,135,514.0,,,,
515,Anadarko,"PICKRELL DRILLING COMPANY, INC.",KS,NESS,01/03/2022,V,"SUTTON ""C"" 6",Pickrell 10,OIL,UNNAMED,MISSISSIPPIAN,"4,400 ft",2021-12-17,15-135-26111,38.4945416 / -100.0089957,340,2021-07-20,15,135,515.0,,,,
516,Gulf Coast,"SUEMAUR EXPL. & PROD., LLC",TX,NUECES,01/03/2022,D,"BURNETT, ET AL GAS UNIT 9",LAUSON 4,OIL & GAS,"AGUA DULCE,WILDCAT",VICKSBURG CONSL.,"10,500 ft",2021-12-03,42-355-34199,27.8180157 / -97.7522834,1000,2021-11-19,42,355,516.0,,,,
517,Anadarko,"COURSON OIL & GAS, INC.",TX,OCHILTREE,01/03/2022,H,COURSON HANDLEY 565 3H,Power Rig 1,OIL & GAS,PAN PETRO,CLEVELAND,"7,400 ft",2022-01-02,42-357-33734,36.2161088 / -100.6595492,1200,2021-12-01,42,357,517.0,,,,
518,Anadarko,MEWBOURNE OIL COMPANY,TX,OCHILTREE,01/03/2022,H,COURSON PARNELL 405 C001PA,Patterson 589,OIL & GAS,PAN PETRO,CLEVELAND,"7,673 ft",2021-12-26,42-357-33733,36.1724844 / -100.6420438,1500,2021-11-29,42,357,518.0,,,,
519,Gulf Coast,"CIMARRON ENGINEERING, LLC",TX,ORANGE,01/03/2022,D,EMERALD 1,LAUSON 1,OIL & GAS,"HARTBURG,HARTBURG, S.,HARTBURG, S.E.","BASAL, MIDDLE, STRUMA","8,000 ft",2021-12-15,42-361-30992,30.2424048 / -93.7749962,750,2021-10-13,42,361,519.0,,,,
520,Sedgwick,"BRUCE OIL COMPANY, L.L.C.",KS,OSBORNE,01/03/2022,V,ANNE MARIE 2,Murfin 16,OIL,UNNAMED,KANSAS CITY,"3,200 ft",2021-12-30,15-141-20491,39.3058553 / -98.6840378,450,2021-11-10,15,141,520.0,,,,
521,Haynesville,"PETROQUEST ENERGY, L.L.C.",TX,PANOLA,01/03/2022,H,PACE CV UNIT 2H,Nabors X02,OIL & GAS,CARTHAGE,COTTON VALLEY,"10,000 ft",2021-12-31,42-365-38714,32.2288871 / -94.0557146,1500,2021-12-16,42,365,521.0,,,,
522,Haynesville,"PINE WAVE ENERGY PARTNERS OP,LLC",TX,PANOLA,01/03/2022,H,TILLER CRENSHAW ALLOC 1H,Nabors X35,GAS,CARTHAGE,HAYNESVILLE SHALE,"10,750 ft",2021-12-07,42-365-38702,32.3279878 / -94.0759446,1500,2021-11-03,42,365,522.0,,,,
523,Haynesville,"R. LACY SERVICES, LTD.",TX,PANOLA,01/03/2022,H,WOOLWORTH HV B 2HH,RAPAD 42,GAS,CARTHAGE,HAYNESVILLE SHALE,"12,000 ft",2021-12-30,42-365-38683,32.3095867 / -94.3586144,2000,2021-09-03,42,365,523.0,,,,
524,Haynesville,ROCKCLIFF ENERGY OPERATING LLC,TX,PANOLA,01/03/2022,H,MINNIE BELL HV UNIT D 4H,H&P 459,GAS,CARTHAGE,HAYNESVILLE SHALE,"13,000 ft",2021-11-30,42-365-38701,32.3775746 / -94.0741183,1500,2021-10-26,42,365,524.0,,,,
525,Haynesville,SABINE OIL & GAS CORPORATION,TX,PANOLA,01/03/2022,H,NORTH HICKEY (AW) 2H,H&P 383,GAS,CARTHAGE,HAYNESVILLE SHALE,"12,000 ft",2021-12-29,42-365-38693,32.2409388 / -94.1363559,1500,2021-11-05,42,365,525.0,,,,
526,Haynesville,SABINE OIL & GAS CORPORATION,TX,PANOLA,01/03/2022,H,SALT CREEK (AW) 4H,H&P 458,GAS,CARTHAGE,HAYNESVILLE SHALE,"12,000 ft",2021-12-21,42-365-38708,32.2398636 / -94.1479828,1500,2021-11-15,42,365,526.0,,,,
527,Haynesville,"SLANT OPERATING, LLC",TX,PANOLA,01/03/2022,H,GLEASON 1H,H&P 452,OIL & GAS,CARTHAGE,COTTON VALLEY,"9,600 ft",2021-12-05,42-365-38697,32.1140909 / -94.4796653,1500,2021-10-21,42,365,527.0,,,,
528,Haynesville,"TANOS EXPLORATION II, LLC",TX,PANOLA,01/03/2022,H,CASTLEBERRY-CHADWICK 1H,Scan Liberty,GAS,CARTHAGE,COTTON VALLEY,"9,695 ft",2021-10-23,42-365-38690,32.0625395 / -94.5300632,1500,2021-10-08,42,365,528.0,,,,
529,Permian - Delaware,"PRI OPERATING, LLC",TX,PECOS,01/03/2022,H,ROOSTERFISH UNIT 22SW64 64H,Precision 593,OIL & GAS,SANDBAR,BONE SPRING,"10,000 ft",2021-12-21,42-371-40333,31.2041151 / -103.1264306,1500,2021-09-15,42,371,529.0,,,,
530,Permian - Delaware,XTO ENERGY INC.,TX,PECOS,01/03/2022,H,SILVER 48-20-29 WA2 702H,H&P 532,OIL,HOEFS T-K,WOLFCAMP,"10,600 ft",2021-12-30,42-371-40351,31.8872927 / -102.275101,1500,2021-11-19,42,371,530.0,,,,
531,,"KWR VENTURES, LLC",,PERRY,01/03/2022,,HEIMAN 1,George Mitchell 9,UNKNOWN, , , ,2021-12-30, ,38.0831375 / -89.2422256,600, ,0,0,531.0,,,,
532,Arkoma,TRINITY OPERATING (USG) LLC,OK,PITTSBURG,01/03/2022,H,PAYDEN 3-24/13/12H,Latshaw 42,OIL & GAS, ,"MISSISSIPPIAN, SYLVAN, WOODFORD","21,700 ft",2021-12-23,35-121-24883,34.8857707 / -95.8878239,1500,2021-11-19,35,121,532.0,,,,
533,DJ Basin,"MURFIN DRILLING CO., INC.",KS,RAWLINS,01/03/2022,V,FRISBIE 'B' 2-15,Murfin 7,OIL,UNNAMED,LANSING,"4,850 ft",2021-12-27,15-153-21277,39.8754695 / -101.2322325,400,2021-12-17,15,153,533.0,,,,
534,Permian - Midland,DISCOVERY NATURAL RESOURCES LLC,TX,REAGAN,01/03/2022,H,BALL AL05 2075NH,Savanna 802,OIL,SPRABERRY,TREND AREA,"8,500 ft",2021-12-25,42-383-41050,31.2035286 / -101.3392229, ,2021-10-21,42,383,534.0,,,,
535,Permian - Midland,"HIBERNIA RESOURCES III, LLC",TX,REAGAN,01/03/2022,H,TURNER E 5H,Cactus 167,OIL & GAS,SPRABERRY,TREND AREA,"10,000 ft",2021-12-14,42-383-41025,31.370903 / -101.697864,1800,2021-08-26,42,383,535.0,,,,
536,Permian - Midland,"HIBERNIA RESOURCES III, LLC",TX,REAGAN,01/03/2022,H,MARY ROSE F 6H,Ensign 786,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-12-28,42-383-41059,31.3451911 / -101.7746995,1500,2021-11-18,42,383,536.0,,,,
537,Permian - Midland,"HIBERNIA RESOURCES III, LLC",TX,REAGAN,01/03/2022,H,TURNER K 11H,Nabors X52,OIL & GAS,SPRABERRY,TREND AREA,"10,000 ft",2021-12-16,42-383-41031,31.3709343 / -101.6880645, ,2021-08-26,42,383,537.0,,,,
538,Permian - Midland,"MOONTOWER RESOURCES OP, LLC",TX,REAGAN,01/03/2022,H,PRINCE UB A1 3H,Latshaw 43,OIL & GAS,SPRABERRY,TREND AREA,"8,400 ft",2021-12-26,42-383-41054,31.3428876 / -101.5782329,1500,2021-10-21,42,383,538.0,,,,
539,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,REAGAN,01/03/2022,H,WAVLE-BURKITT 1205C 3H,Ensign T134,OIL & GAS,SPRABERRY,TREND AREA,"10,159 ft",2021-12-11,42-383-40957,31.3321417 / -101.6382714,1500,2021-03-16,42,383,539.0,,,,
540,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,REAGAN,01/03/2022,H,UNIVERSITY E2-30B 102H,Patterson 804,OIL & GAS,SPRABERRY,"TREND AREA, TREND AREA) R 40 EXC","10,150 ft",2021-12-17,42-383-40765,31.2823502 / -101.767294,1500,2020-01-08,42,383,540.0,,,,
541,Permian - Midland,"RP OPERATING, L.L.C.",TX,REAGAN,01/03/2022,H,PAPAYA B 199-178 LB 2H,AKITA 516,OIL & GAS,SPRABERRY,TREND AREA,"10,000 ft",2021-12-19,42-383-41048,31.2050902 / -101.3891849,1500,2021-09-23,42,383,541.0,,,,
542,Permian - Midland,SEM OPERATING COMPANY LLC,TX,REAGAN,01/03/2022,H,UNIVERSITY 2-58 2507WC,Independence 307,OIL & GAS,LIN,WOLFCAMP,"10,000 ft",2021-12-23,42-383-41068,31.2870289 / -101.676682,1500,2021-11-23,42,383,542.0,,,,
543,Haynesville,BPX OPERATING COMPANY,LA,RED RIVER,01/03/2022,H,HA RA SUS;MJR FAMLLC21-28-33HC 002-ALT,H&P 445,GAS,GAHAGAN,HA,"23,858 ft",2021-12-16,17-081-21734,32.010088 / -93.391192,1500,2021-08-23,17,81,543.0,,,,
544,Haynesville,"GEP HAYNESVILLE, LLC",LA,RED RIVER,01/03/2022,H,HA RA SU58;JIMMY GAY 16-9 HC 001-ALT,H&P 506,GAS,WOODARDVILLE,HAYNESVILLE,"21,500 ft",2021-12-10,17-081-21739,32.1935909 / -93.3914225,1500,2021-09-27,17,81,544.0,,,,
545,Haynesville,"GEP HAYNESVILLE, LLC",LA,RED RIVER,01/03/2022,H,HA RA SUAA;ROW PROP 9-16 HC 002-ALT,H&P 507,GAS,WOODARDVILLE,HAYNESVILLE,"21,500 ft",2021-12-30,17-081-21742,32.2162953 / -93.4002578,1500,2021-09-28,17,81,545.0,,,,
546,Haynesville,INDIGO MINERALS LLC,LA,RED RIVER,01/03/2022,H,HA RA SUSS;LGR 22&15&10-11-9HC 001,Independence 208,GAS,REDOAK LAKE,HAYNESVILLE, ,2021-12-24,17-081-21731,31.9141466 / -93.2915128,1500,2021-08-17,17,81,546.0,,,,
547,Haynesville,PA PROSPECT CORPORATION,LA,RED RIVER,01/03/2022,V,REIMER CALHOUN SWD 002,Reliance 1,UNKNOWN,RED RIVER-BULL BAYOU, , ,2021-12-11,17-081-88021,32.0811087 / -93.478844,800,2021-07-26,17,81,547.0,,,,
548,Haynesville,TELLURIAN OPERATING LLC,LA,RED RIVER,01/03/2022,H,HA RB SU90;NRG 29-12-10 H 004-ALT,Basin 105,GAS,RED RIVER-BULL BAYOU,HAYNESVILLE,"17,841 ft",2022-01-01,17-081-21744,31.9915848 / -93.4210959,1500,2021-11-10,17,81,548.0,,,,
549,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,REEVES,01/03/2022,H,VALKYRIE STATE 57-2-40 UNIT 14HA,H&P 266,OIL & GAS,PHANTOM,WOLFCAMP,"13,000 ft",2021-12-30,42-389-39638,31.7826659 / -103.9641174,1500,2021-10-05,42,389,549.0,,,,
550,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,REEVES,01/03/2022,H,BONSAI 56-2-13-25 B 14H,Ensign 778,OIL & GAS,PHANTOM,WOLFCAMP,"13,000 ft",2021-12-30,42-389-39628,31.8499124 / -103.8164449,1500,2021-10-26,42,389,550.0,,,,
551,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,REEVES,01/03/2022,H,VALKYRIE STATE 57-2-40 UNIT 12HA,H&P 244,OIL & GAS,PHANTOM,WOLFCAMP,"13,000 ft",2021-12-27,42-389-39636,31.7824391 / -103.9714889,1500,2021-10-05,42,389,551.0,,,,
552,Permian - Delaware,BPX OPERATING COMPANY,TX,REEVES,01/03/2022,H,STATE AL OLSON 57-T2-6X43 G W107H,H&P 614,OIL & GAS,PHANTOM,WOLFCAMP,"11,718 ft",2021-12-14,42-389-39570,31.8696082 / -103.9941045,1500,2021-09-16,42,389,552.0,,,,
553,Permian - Delaware,BPX OPERATING COMPANY,TX,REEVES,01/03/2022,H,STATE AL OLSON 57-T2-6X43 O W115H,Independence 212,OIL & GAS,PHANTOM,WOLFCAMP,"11,693 ft",2021-12-23,42-389-39549,31.8705972 / -104.004767,1500,2021-08-25,42,389,553.0,,,,
554,Permian - Delaware,"BTA OIL PRODUCERS, LLC",TX,REEVES,01/03/2022,H,TETRIS 21601 18 12H,Patterson 288,OIL & GAS,PHANTOM,WOLFCAMP,"12,065 ft",2021-12-22,42-389-39559,31.6884219 / -103.7063581,1500,2021-09-03,42,389,554.0,,,,
555,Permian - Delaware,"BTA OIL PRODUCERS, LLC",TX,REEVES,01/03/2022,H,LOG JAM 22111 19 7H,Patterson 282,OIL & GAS,PHANTOM,WOLFCAMP,"11,475 ft",2021-12-21,42-389-39562,31.697038 / -103.6964542,1500,2021-09-01,42,389,555.0,,,,
556,Permian - Delaware,"CENTENNIAL RESOURCE PROD, LLC",TX,REEVES,01/03/2022,H,POWDERED DONUT STATE H C 41H,H&P 296,OIL & GAS,PHANTOM,WOLFCAMP,"10,800 ft",2021-12-27,42-389-39668,31.4413945 / -103.6201896,1500,2021-11-03,42,389,556.0,,,,
557,Permian - Delaware,CHEVRON U. S. A. INC.,TX,REEVES,01/03/2022,H,REV BX STATE T8-51-12 0072WC,Nabors X16,OIL & GAS,WOLFBONE,TREND AREA,"11,000 ft",2021-11-21,42-389-39541,31.168411 / -103.3890621,1500,2021-08-17,42,389,557.0,,,,
558,Permian - Delaware,"COLGATE OPERATING, LLC",TX,REEVES,01/03/2022,H,MOSES MIPA UNIT 221H,H&P 509,OIL & GAS,PHANTOM,WOLFCAMP,"11,500 ft",2021-12-22,42-389-39640,31.4244362 / -103.5134106,1500,2021-10-08,42,389,558.0,,,,
559,Permian - Delaware,DIAMONDBACK E&P LLC,TX,REEVES,01/03/2022,H,WATCHMAN 30-26 A 1BS,H&P 613,OIL,HOEFS T-K,WOLFCAMP,"9,580 ft",2021-12-23,42-389-39615,31.1983845 / -103.1849966,1500,2021-09-13,42,389,559.0,,,,
560,Permian - Delaware,DIAMONDBACK E&P LLC,TX,REEVES,01/03/2022,H,THUNDERBALL STATE 4-67 UI 5WB,AKITA 523,OIL & GAS,PHANTOM,WOLFCAMP,"11,230 ft",2021-12-09,42-389-39579,31.6234549 / -103.6931752,1500,2021-09-08,42,389,560.0,,,,
561,Permian - Delaware,DIAMONDBACK E&P LLC,TX,REEVES,01/03/2022,H,THUNDERBALL STATE 4-67 UE 3WB,AKITA 525,OIL & GAS,PHANTOM,WOLFCAMP,"11,229 ft",2021-12-07,42-389-39575,31.6233859 / -103.6988378,1500,2021-09-07,42,389,561.0,,,,
562,Permian - Delaware,"EOG RESOURCES, INC.",TX,REEVES,01/03/2022,H,JAWS STATE UNIT 731H,Nabors 1208,OIL & GAS,PHANTOM,WOLFCAMP,"11,880 ft",2021-12-18,42-389-39580,31.4828467 / -103.823998, ,2021-09-07,42,389,562.0,,,,
563,Permian - Delaware,"PDC PERMIAN, INC.",TX,REEVES,01/03/2022,H,KENOSHA-KEYHOLE 4341 2U B 2H,H&P 629,OIL & GAS,PHANTOM,WOLFCAMP,"12,000 ft",2021-12-30,42-389-39607,31.4394979 / -103.5753124,1500,2021-09-09,42,389,563.0,,,,
564,Permian - Delaware,"PRI OPERATING, LLC",TX,REEVES,01/03/2022,H,MEERKAT STATE UNIT 17W61 61H,Precision 551,OIL & GAS,SANDBAR,BONE SPRING,"10,500 ft",2021-12-05,42-389-39604,31.3001643 / -103.1845451,1800,2021-09-10,42,389,564.0,,,,
565,Permian - Delaware,"PRI OPERATING, LLC",TX,REEVES,01/03/2022,H,VIPER 14N31 31H,Precision 599,OIL & GAS,SANDBAR,BONE SPRING,"10,500 ft",2021-12-29,42-389-39660,31.2172185 / -103.2520403,1800,2021-10-27,42,389,565.0,,,,
566,Permian - Delaware,PRIMEXX OPERATING CORPORATION,TX,REEVES,01/03/2022,H,THE GREAT MILENKO UNIT 15-16 2UA,NorAm 26,OIL & GAS,"HOEFS T-K,WOLFBONE","TREND AREA, WOLFCAMP","13,000 ft",2021-12-17,42-389-39593,31.2038183 / -103.6102151,1800,2021-09-09,42,389,566.0,,,,
567,Permian - Delaware,PRIMEXX OPERATING CORPORATION,TX,REEVES,01/03/2022,H,THE GREAT MILENKO UNIT 15-16 3UA,Citadel 6,OIL & GAS,"HOEFS T-K,WOLFBONE","TREND AREA, WOLFCAMP","13,000 ft",2021-12-19,42-389-39594,31.2064181 / -103.6101401, ,2021-09-09,42,389,567.0,,,,
568,Permian - Delaware,"RIO OIL AND GAS (PERMIAN) II,LLC",TX,REEVES,01/03/2022,H,HARRISON STATE UNIT 12-24-16 1H,Ensign 775,OIL & GAS,SANDBAR,BONE SPRING,"23,000 ft",2021-11-09,42-389-39654,31.6390285 / -103.7549229,1500,2021-10-27,42,389,568.0,,,,
569,Permian - Delaware,TALL CITY OPERATIONS III LLC,TX,REEVES,01/03/2022,H,D-DAY 106-105 UNIT 6H,H&P 653,OIL,HOEFS T-K,WOLFCAMP,"16,000 ft",2021-12-22,42-389-39643,31.1654709 / -103.6177251,1500,2021-10-07,42,389,569.0,,,,
