,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
115,Haynesville,INDIGO MINERALS LLC,LA,DE SOTO,12/27/2021,H,HA RA SUDD;BGLY 28&21-14-16 HC 003-ALT,Independence 209,GAS,BETHANY LONGSTREET,HAYNESVILLE,"24,500 ft",2021-12-15,17-031-27043,32.1687889 / -94.0119855,1500,2021-08-19,17,31,115.0,,,
116,Haynesville,VINE ENERGY OPERATING LP,LA,DE SOTO,12/27/2021,H,HA RA SUGG;GALLASPY 26-23 HC 003-ALT,Cactus 149,GAS,TRENTON,HAYNESVILLE,"23,000 ft",2021-11-22,17-031-27016,31.9042722 / -93.6756582,1500,2021-06-01,17,31,116.0,,,
117,Haynesville,VINE OIL & GAS LP,LA,DE SOTO,12/27/2021,H,HA RA SUJ;HARTZ 4-33 HC 002-ALT,Cactus 165,GAS,TRENTON,HAYNESVILLE,"22,000 ft",2021-12-10,17-031-26999,31.9657512 / -93.7041642,1500,2021-04-20,17,31,117.0,,,
118,Anadarko,COMANCHE EXPLORATION CO LLC,OK,DEWEY,12/27/2021,H,EVANS 18-1H,Atlas 7,OIL & GAS, ,MISSISSIPPIAN,"15,011 ft",2021-11-19,35-043-23728,36.0429261 / -98.7317707,1000,2021-09-14,35,43,118.0,,,
119,Eagleford,BURLINGTON RESOURCES O & G CO LP,TX,DEWITT,12/27/2021,H,C.W. HAHN UNIT A 6,H&P 256,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"17,000 ft",2021-12-21,42-123-35052,29.0654836 / -97.655226,1500,2020-11-10,42,123,119.0,,,
120,Eagleford,ENSIGN OPERATING LLC,TX,DEWITT,12/27/2021,H,AFFLERBACH 01 - R01 - G01 A 01H,H&P 372,OIL & GAS,DE WITT,EAGLE FORD SHALE,"24,000 ft",2021-12-21,42-123-35118,29.0232703 / -97.5369884,1500,2021-10-14,42,123,120.0,,,
121,Eagleford,"MAGNUM OPERATING, LLC",TX,DEWITT,12/27/2021,V,YELLOW ROSE 1,LAUSON 3,OIL & GAS,"HELEN GOHLKE,WILDCAT",MIDDLE WILCOX,"9,500 ft",2021-11-30,42-123-35123,29.0788193 / -97.0193569, ,2021-11-03,42,123,121.0,,,
122,Eagleford,"REPSOL OIL & GAS USA, LLC",TX,DEWITT,12/27/2021,H,SEILER-GANO (SA) B2 B 2H,Precision 568,OIL & GAS,SUGARKANE,"AUSTIN CHALK, EAGLE FORD","15,000 ft",2021-12-18,42-123-34829,28.9774297 / -97.6053508,1500,2019-06-10,42,123,122.0,,,
123,Eagleford,"ROSEWOOD RESOURCES, INC.",TX,DEWITT,12/27/2021,H,YORKTOWN 1H,Nabors 1202,GAS,DE WITT,EAGLE FORD SHALE,"14,350 ft",2021-12-15,42-123-35126,29.0033492 / -97.5264337, ,2021-12-02,42,123,123.0,,,
124,Barnett,"SCHALK OIL COMPANY, INC.",TX,DICKENS,12/27/2021,V,BRINKMAN 2,Blue Line 3,OIL & GAS,"AFTER FIVE,WILDCAT",TANNEHILL,"5,200 ft",2021-12-24,42-125-31393,33.5372509 / -100.7649494,400,2021-08-24,42,125,124.0,,,
125,Eagleford,"CML EXPLORATION, LLC",TX,DIMMIT,12/27/2021,H,DRINKARD 1,Patterson 233,OIL & GAS,PEARSALL,AUSTIN CHALK,"6,515 ft",2021-12-03,42-127-38426,28.5863644 / -99.6842694,1500,2021-10-13,42,127,125.0,,,
126,Eagleford,"GRIT OIL & GAS MANAGEMENT, LLC",TX,DIMMIT,12/27/2021,H,HAMILTON RANCH B 417H,Savanna 654,OIL,HUGH FITZSIMMONS,SAN MIGUEL,"3,200 ft",2021-12-21,42-127-38453,28.4353112 / -100.0773229,1200,2021-12-09,42,127,126.0,,,
127,Eagleford,"SN EF MAVERICK, LLC",TX,DIMMIT,12/27/2021,H,BRISCOE CHIP EAST RANCH UNIT F 01HE,Independence 301,OIL & GAS,BRISCOE RANCH,EAGLEFORD,"8,500 ft",2021-12-18,42-127-38350,28.2921207 / -99.6781625,1500,2020-09-28,42,127,127.0,,,
128,Uintah,"CH4-FINLEY OPERATING, LLC",UT,DUCHESNE,12/27/2021,H,RP TRIBAL 21N-31W-H3UB,Aztec 920,OIL,NORTH MYTON BENCH,UTELAND BUTTE,"19,369 ft",2021-12-14,43-013-53953,40.2014221 / -109.9989114,1000,2021-11-03,43,13,128.0,,,
129,Uintah,"EP ENERGY E&P COMPANY, LP",UT,DUCHESNE,12/27/2021,H,PRESBYTERY 1-15-16-C4-1H,Nabors X18,OIL,ALTAMONT,UTELAND BUTTE,"20,110 ft",2021-12-15,43-013-54057,40.224247 / -110.311676,1500,2021-01-19,43,13,129.0,,,
130,Uintah,"EP ENERGY E&P COMPANY, LP",UT,DUCHESNE,12/27/2021,H,GRIZZLY RIDGE 16-15-16-C4-5H,Nabors X26,OIL,NORTH MYTON BENCH,UTELAND BUTTE,"20,907 ft",2021-12-11,43-013-54192,40.2128663 / -110.3116011,1500,2021-11-02,43,13,130.0,,,
131,Uintah,"XCL ASSETCO, LLC",UT,DUCHESNE,12/27/2021,H,FLAMING DRAGON 54-2526-23M,H&P 520,OIL,BLUEBELL,WASATCH,"20,529 ft",2021-12-17,43-013-54163,40.2781282 / -110.1588036,1500,2021-09-16,43,13,131.0,,,
132,Uintah,"XCL ASSETCO, LLC",UT,DUCHESNE,12/27/2021,H,FLAMING DRAGON 81-2526-23T,H&P 524,OIL,BLUEBELL,GREEN RIVER - LOWER,"19,706 ft",2021-12-14,43-013-54171,40.2783844 / -110.1581746,1500,2021-09-16,43,13,132.0,,,
133,DJ Basin,"MURFIN DRILLING COMPANY, INC",NE,DUNDY,12/27/2021,V,HENRY 2-12,Murfin 3,OIL,COMBINE,MISSISSIPPIAN,"5,200 ft",2021-12-21,26-057-21927,40.1501977 / -101.679547,400,2021-12-16,26,57,133.0,,,
134,Bakken,"CONTINENTAL RESOURCES, INC.",ND,DUNN,12/27/2021,H,THORP FEDERAL 5-28H1,Nabors B01,UNKNOWN,LITTLE KNIFE, , ,2021-12-21,33-025-04332,47.6271723 / -103.0530665,1500,2021-08-25,33,25,134.0,,,
135,Bakken,"CONTINENTAL RESOURCES, INC.",ND,DUNN,12/27/2021,H,BANG 9-4H1,Nabors B06,UNKNOWN,CEDAR COULEE, , ,2021-12-10,33-025-04372,47.4894977 / -102.9101586,1500,2021-10-11,33,25,135.0,,,
136,Bakken,"CONTINENTAL RESOURCES, INC.",ND,DUNN,12/27/2021,H,DENNIS FIU 13-8H1,Cyclone 38,CONFIDENTIAL,CEDAR COULEE, , ,2021-12-15,33-025-04161,47.573181 / -102.9380686,1500,2021-02-08,33,25,136.0,,,
137,Bakken,"CONTINENTAL RESOURCES, INC.",ND,DUNN,12/27/2021,H,DENNIS FIU 12-8H,H&P 454,CONFIDENTIAL,CEDAR COULEE, , ,2021-12-13,33-025-04184,47.5728363 / -102.9366227,1500,2021-02-09,33,25,137.0,,,
138,Bakken,ENERPLUS RESOURCES USA CORPORATION,ND,DUNN,12/27/2021,H,SHAD 149-94-36C-25H,True 40,OIL & GAS,SQUAW CREEK,BAKKEN,"21,552 ft",2021-12-21,33-025-03921,47.6717507 / -102.6499411,1500,2020-12-15,33,25,138.0,,,
139,Bakken,HUNT OIL COMPANY,ND,DUNN,12/27/2021,,HALLIDAY 145-93-15-22H 5,H&P 640,UNKNOWN, , , ,2021-12-20,33-025-04348,47.3874054 / -102.5108948,1500, ,33,25,139.0,,,
140,Bakken,MARATHON OIL COMPANY,ND,DUNN,12/27/2021,H,CHERYL 41-18H,H&P 259,DISPOSAL,BAILEY,BAKKEN,"21,357 ft",2021-12-12,33-025-04364,47.4720097 / -102.5693035,1500,2021-09-29,33,25,140.0,,,
141,Bakken,MARATHON OIL COMPANY,ND,DUNN,12/27/2021,H,ERMINA 31-13TFH,H&P 535,OIL & GAS,BAILEY,BAKKEN,"21,656 ft",2021-12-21,33-025-04353,47.4722394 / -102.5867172,1500,2021-09-21,33,25,141.0,,,
142,Bakken,MARATHON OIL COMPANY,ND,DUNN,12/27/2021,H,STATE MELMAN 34-36TFH,Nabors X10,OIL & GAS,BAILEY,BAKKEN,"20,885 ft",2021-12-14,33-025-04388,47.4173938 / -102.5957027,1500,2021-11-18,33,25,142.0,,,
143,Gulf Coast,"SAFARI PRODUCTION COMPANY, INC.",TX,DUVAL,12/27/2021,V,MOBIL FEE 5,Energy 16,GAS,DESTINO,"LOWER HOUSE, SLICK B, WX. ""W"" SAND, WX. MIDDLE HOUSE, WX. RONNIE SD.","14,645 ft",2021-11-15,42-131-38234,27.7507845 / -98.6056856,2000,2021-11-03,42,131,143.0,,,
144,Permian - Midland,FIREBIRD ENERGY LLC,TX,ECTOR,12/27/2021,H,BOPIE 2734 E 103H,NorAm 25,OIL & GAS,SPRABERRY,TREND AREA,"10,000 ft",2021-12-08,42-135-43815,31.7444004 / -102.3321819,1800,2021-07-16,42,135,144.0,,,
145,Permian - Midland,FIREBIRD ENERGY LLC,TX,ECTOR,12/27/2021,H,BOPIE 2734 G 104H,NorAm 28,OIL & GAS,SPRABERRY,TREND AREA,"10,000 ft",2021-12-08,42-135-43813,31.7430294 / -102.3384018,1900,2021-07-12,42,135,145.0,,,
146,Permian - Delaware,CHEVRON USA INCORPORATED,NM,EDDY,12/27/2021,H,CB MOTHMA 23 14 FEE 10 401H,Patterson 257,GAS,PURPLE SAGE,WOLFCAMP (GAS),"20,004 ft",2021-12-21,30-015-48350,32.2863302 / -104.0642452,1500,2021-05-20,30,15,146.0,,,
147,Permian - Delaware,COG OPERATING LLC,NM,EDDY,12/27/2021,H,SCOUT STATE COM 606H,H&P 486,GAS,PURPLE SAGE,WOLFCAMP,"24,173 ft",2021-12-18,30-015-46960,32.164257 / -104.1329845,1500,2020-04-03,30,15,147.0,,,
148,Permian - Delaware,COG OPERATING LLC,NM,EDDY,12/27/2021,H,SCOUT STATE COM 601H,Pioneer 84,GAS,PURPLE SAGE,WOLFCAMP,"24,892 ft",2021-12-19,30-015-46955,32.1657033 / -104.1210589,1500,2020-04-03,30,15,148.0,,,
149,Permian - Delaware,"COLGATE OPERATING, LLC",NM,EDDY,12/27/2021,H,DAWSON 34 FED COM 133H,H&P 510,OIL,"OLD MILLMAN RANCH,WINCHESTER","BONE SPRING, BS (ASSOC)","18,979 ft",2021-12-18,30-015-47705,32.6170063 / -104.1572589,1500,2020-11-20,30,15,149.0,,,
150,Permian - Delaware,"COLGATE OPERATING, LLC",NM,EDDY,12/27/2021,H,BLACK DIAMOND 34 FED 133H,Nabors M7506,OIL,PARKWAY,BONE SPRING,"16,804 ft",2021-12-10,30-015-47824,32.6130122 / -104.0552822,1150,2020-12-15,30,15,150.0,,,
151,Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",NM,EDDY,12/27/2021,H,COTTON DRAW UNIT 605H,Cactus 132,OIL,PURPLE SAGE,WOLFCAMP (GAS),"19,133 ft",2021-12-14,30-015-47297,32.19448 / -103.748929,2000,2020-07-16,30,15,151.0,,,
152,Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",NM,EDDY,12/27/2021,H,TODD 36-25 STATE FED COM 628H,Nabors M7503,OIL,WC,WOLFCAMP,"22,174 ft",2021-12-05,30-015-47323,32.2541295 / -103.7259395,1150,2020-08-11,30,15,152.0,,,
153,Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",NM,EDDY,12/27/2021,H,COTTON DRAW UNIT 601H,Cactus 129,OIL,PADUCA,BONE SPRING (O),"19,630 ft",2021-11-19,30-015-47299,32.1945397 / -103.7534567,2000,2020-07-17,30,15,153.0,,,
154,Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",NM,EDDY,12/27/2021,H,TODD 36-25 STATE FED COM 627H,Cactus 135,OIL,WC,WOLFCAMP,"22,112 ft",2021-12-23,30-015-48064,32.2541106 / -103.729434,2000,2021-02-17,30,15,154.0,,,
155,Permian - Delaware,"EOG RESOURCES, INC.",NM,EDDY,12/27/2021,H,DIRE WOLF 12 FED 733H,H&P 298,OIL,PURPLE SAGE,WOLFCAMP (GAS),"18,643 ft",2021-12-11,30-015-47651,32.0525468 / -103.840831,1500,2020-11-10,30,15,155.0,,,
156,Permian - Delaware,"EOG RESOURCES, INC.",NM,EDDY,12/27/2021,H,DIRE WOLF 12 FED 712H,Nabors 1206,OIL,PURPLE SAGE,WOLFCAMP (GAS),"18,370 ft",2021-12-01,30-015-47684,32.0533032 / -103.8379348, ,2020-11-16,30,15,156.0,,,
157,Permian - Delaware,"EOG RESOURCES, INC.",NM,EDDY,12/27/2021,H,GOLDEN GRAHAM 1 STATE COM 704H,H&P 249,OIL,PURPLE SAGE,WOLFCAMP (GAS),"19,889 ft",2021-12-17,30-015-48314,32.0649374 / -104.0433421,1500,2021-05-13,30,15,157.0,,,
158,Permian - Delaware,"EOG RESOURCES, INC.",NM,EDDY,12/27/2021,H,DIRE WOLF 12 FED 729H,Nabors 1210,OIL,PURPLE SAGE,WOLFCAMP (GAS),"18,666 ft",2021-12-18,30-015-47649,32.0544557 / -103.8343729, ,2020-11-10,30,15,158.0,,,
159,Permian - Delaware,MATADOR PRODUCTION COMPANY,NM,EDDY,12/27/2021,H,JOE HOLLINGSWORTH FEE 201H,Patterson 810,GAS,PURPLE SAGE,WOLFCAMP (GAS),"18,433 ft",2021-12-16,30-015-49015,32.3831155 / -104.1004514,1500,2021-10-28,30,15,159.0,,,
160,Permian - Delaware,MATADOR PRODUCTION COMPANY,NM,EDDY,12/27/2021,H,ACE STERN VEGAS FEE 22 21 124H,Patterson 297,OIL,SOUTH CULEBRA BLUFF,BONE SPRING,"18,259 ft",2021-12-18,30-015-49109,32.3741929 / -104.1000544,1500,2021-11-22,30,15,160.0,,,
161,Permian - Delaware,MATADOR PRODUCTION COMPANY,NM,EDDY,12/27/2021,H,KEN WILSON 14 15 112H,Patterson 256,OIL,MALAGA,BONE SPRING,"17,800 ft",2021-12-13,30-015-48103,32.2197074 / -104.0505553,1500,2021-03-23,30,15,161.0,,,
162,Permian - Delaware,MATADOR PRODUCTION COMPANY,NM,EDDY,12/27/2021,H,BUBBA BURTON 14 15 24S 28E 121H,Patterson 295,OIL,MALAGA,BONE SPRING,"18,800 ft",2021-12-21,30-015-48082,32.2236326 / -104.0504333,1500,2021-03-05,30,15,162.0,,,
163,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,12/27/2021,H,CHICAGO 9/8 W0AD FED COM 1H,Patterson 594,GAS,PURPLE SAGE,WOLFCAMP GAS,"19,636 ft",2021-12-11,30-015-49126,32.2341339 / -104.085187,1500,2021-12-01,30,15,163.0,,,
164,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,12/27/2021,H,BUFFALO TRACE 1 36 H3OB FEDERAL COM 2H,Patterson 597,GAS,SOUTH CORRAL CANYON,BONE SPRING,"19,802 ft",2021-12-22,30-015-46799,32.06301 / -103.9306036,1500,2020-02-28,30,15,164.0,,,
165,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,12/27/2021,H,ROCK SPUR 27 W2BO STATE 001H,Patterson 816,GAS,PURPLE SAGE,WOLFCAMP (GAS),"15,238 ft",2021-12-06,30-015-49108,32.195339 / -104.0741761,1500,2021-11-22,30,15,165.0,,,
166,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,12/27/2021,H,SAN LORENZO 9 W1OB FEE 001H,Patterson 263,GAS,PURPLE SAGE,WOLFCAMP (GAS),"14,295 ft",2021-12-11,30-015-48896,32.1381916 / -104.0923332,1500,2021-09-01,30,15,166.0,,,
167,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,12/27/2021,H,CHOLULA 12/11 W0PM FED COM 1H,Patterson 574,GAS,ALACRAN HILLS,WOLFCAMP (GAS),"19,651 ft",2021-12-17,30-015-48293,32.491109 / -104.3510826,1200,2021-05-10,30,15,167.0,,,
168,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,12/27/2021,H,PHOENIX 21/22 B2CA FEDERAL COM 1H,Patterson 260,OIL,SANTO NINO,BONE SPRING,"19,745 ft",2021-12-16,30-015-49161,32.7415004 / -103.9919548,1500,2021-12-14,30,15,168.0,,,
169,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,12/27/2021,H,BOONDOCK 3 W1PA STATE COM 002H,Patterson 245,GAS,PURPLE SAGE,WOLFCAMP (GAS),"14,585 ft",2021-12-22,30-015-48735,32.1525197 / -104.0705507,1500,2021-07-28,30,15,169.0,,,
170,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,12/27/2021,H,HOSS 2/11 B2AP FED COM 1H,Patterson 560,OIL,NORTH SAN LORENZO,BONE SPRING,"18,609 ft",2021-12-16,30-015-48950,32.1656766 / -104.0529875,1500,2021-09-14,30,15,170.0,,,
171,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,12/27/2021,H,PRINCE 31 W0EH FED COM 3H,Patterson 270,GAS,PURPLE SAGE,WOLFCAMP (GAS),"14,217 ft",2021-12-18,30-015-48151,32.1767471 / -104.0312583,1500,2021-04-19,30,15,171.0,,,
172,Permian - Delaware,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NM,EDDY,12/27/2021,H,OVATION FED COM 1318 212H,Frontier 19,GAS,PURPLE SAGE,WOLFCAMP (GAS),"20,124 ft",2021-12-14,30-015-49073,32.3084906 / -104.0517456,1500,2021-10-21,30,15,172.0,,,
173,Permian - Delaware,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NM,EDDY,12/27/2021,H,OVATION FED COM 1318 231H,Frontier 20,GAS,PURPLE SAGE,WOLFCAMP (GAS),"20,948 ft",2021-12-15,30-015-49102,32.3107908 / -104.0507306,2000,2021-11-19,30,15,173.0,,,
174,Permian - Delaware,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NM,EDDY,12/27/2021,H,ASTRODOG FED COM 0809 231H,Precision 596,GAS,PURPLE SAGE,WOLFCAMP (GAS),"18,698 ft",2021-12-07,30-015-48654,32.323942 / -104.0120624,1800,2021-07-01,30,15,174.0,,,
175,Permian - Delaware,OXY USA INCORPORATED,NM,EDDY,12/27/2021,H,PURE GOLD MDP1 29 17 FEDERAL COM 008H,Citadel 2,OIL,INGLE WELLS,BONE SPRING,"22,944 ft",2021-12-21,30-015-45754,32.2693311 / -103.8002301, ,2019-02-22,30,15,175.0,,,
176,Permian - Delaware,OXY USA INCORPORATED,NM,EDDY,12/27/2021,H,PURE GOLD MDP1 29 17 FEDERAL COM 172H,Pioneer 82,OIL,WC-015 G-08 S233135D,WOLFCAMP,"24,187 ft",2021-12-20,30-015-45717,32.2700685 / -103.8053082,1500,2019-02-13,30,15,176.0,,,
177,Permian - Delaware,"TAP ROCK OPERATING, LLC",NM,EDDY,12/27/2021,H,CYPRESS 33 FED COM 214H,H&P 425,OIL,PURPLE SAGE,WOLFCAMP (GAS),"15,362 ft",2021-12-15,30-015-47845,32.2687183 / -103.9844955,1500,2020-12-17,30,15,177.0,,,
178,Permian - Delaware,"TAP ROCK OPERATING, LLC",NM,EDDY,12/27/2021,H,CYPRESS 33 FED COM 233H,H&P 466,GAS,PURPLE SAGE,WOLFCAMP (GAS),"15,818 ft",2021-12-20,30-015-47856,32.2683666 / -103.9850397,1500,2020-12-17,30,15,178.0,,,
179,Permian - Delaware,"XTO ENERGY, INC.",NM,EDDY,12/27/2021,H,REMUDA SOUTH 25 STATE 706H,Nabors X32,OIL,"FORTY NINER RIDGE BONE SPRING,WEST",BONE SPRING,"17,070 ft",2021-12-16,30-015-48542,32.2766014 / -103.9320371,1500,2021-06-21,30,15,179.0,,,
180,Permian - Delaware,XTO PERMIAN OPERATING LLC.,NM,EDDY,12/27/2021,H,POKER LAKE UNIT 28-21 BS 107H,H&P 549,GAS,PURPLE SAGE,WOLFCAMP (GAS),"19,820 ft",2021-12-09,30-015-48954,32.1071107 / -103.7771282, ,2021-09-14,30,15,180.0,,,
181,Permian - Delaware,XTO PERMIAN OPERATING LLC.,NM,EDDY,12/27/2021,H,POKER LAKE UNIT 28-21 BS 153H,H&P 552,GAS,PURPLE SAGE,WOLFCAMP (GAS),"20,727 ft",2021-12-19,30-015-48956,32.1070504 / -103.7848806,1500,2021-09-15,30,15,181.0,,,
182,Sedgwick,"CHOLLA PRODUCTION, LLC",KS,ELLIS,12/27/2021,V,PENNEY 2-14-15-20,Discovery 4,OIL,POST ROCK NORTH,"LKC, PAWNEE","3,800 ft",2021-12-17,15-051-27016,38.7414106 / -99.5107185,525,2021-12-08,15,51,182.0,,,
183,Anadarko,MEWBOURNE OIL COMPANY,OK,ELLIS,12/27/2021,H,ELIANA 5/32 NC 1H,Patterson 576,OIL & GAS, ,CHEROKEE,"19,256 ft",2021-11-22,35-045-23846,36.1451642 / -99.8944634,1200,2021-10-11,35,45,183.0,,,
184,Anadarko,MEWBOURNE OIL COMPANY,OK,ELLIS,12/27/2021,H,MEMPHIS 5/32 PA 1H,Patterson 287,OIL & GAS, ,CHEROKEE,"19,776 ft",2021-12-12,35-045-23845,36.0573746 / -99.7789193,1500,2021-09-16,35,45,184.0,,,
185,Sedgwick,"CARMEN SCHMITT, INC.",KS,ELLSWORTH,12/27/2021,V,ROLFS #2,Southwind 8,OIL,GREGORY,ARBUCKLE,"3,350 ft",2021-12-14,15-053-21378,38.6181165 / -98.2695562,550,2021-12-01,15,53,185.0,,,
186,Gulf Coast,"ARENA OFFSHORE, LP",LA,EUGENE IS. OFFSHORE,12/27/2021,D,K008  ,White Fleet 350,OIL & GAS,EI238,C-15 FB-K7, ,2021-12-06,17-709-41304,28.5334121 / -91.4959107, ,2021-12-06,17,709,186.0,,,
187,Offshore,"ENVEN ENERGY VENTURES, LLC",GOM,EWING BANK,12/27/2021,D,A011  ,Nabors MODS 200,OIL & GAS,LOBSTER/OYSTER,BUL-1, ,2021-11-08,60-810-50050,28.1012345 / -90.2021891,2000,2021-11-08,60,810,187.0,,,
188,Eagleford,INEOS USA OIL & GAS LLC,TX,FAYETTE,12/27/2021,H,CLIFFHANGER OL UNIT 2H,H&P 511,OIL,GIDDINGS,AUSTIN CHALK-3,"8,300 ft",2021-11-22,42-149-33530,29.9621962 / -97.0363611,1500,2021-10-15,42,149,188.0,,,
189,Eagleford,RAMTEX ENERGY LLC,TX,FAYETTE,12/27/2021,H,CREED 1 1H,Patterson 266,GAS,GIDDINGS,"AUSTIN CHALK, GAS","14,000 ft",2021-12-12,42-149-33533,29.8397591 / -96.7476525,1500,2021-11-10,42,149,189.0,,,
190,Anadarko,BEREXCO LLC,KS,FINNEY,12/27/2021,V,WALKER UNIT 8-29,Duke 4,OIL,CONGDON NORTH,"MORROW, ST. LOUIS","4,950 ft",2021-12-16,15-055-22545,38.0232428 / -100.8565172,465,2021-12-02,15,55,190.0,,,
191,Barnett,"BROWNING OIL COMPANY, INC.",TX,FISHER,12/27/2021,H,BRAZOS 25-26 1H,Power Rig 2,OIL,"SYLVESTER, EAST",STRAWN,"6,000 ft",2021-12-15,42-151-33225,32.6691843 / -100.2835429,1200,2021-11-12,42,151,191.0,,,
192,Barnett,"BROWNING OIL COMPANY, INC.",TX,FISHER,12/27/2021,H,CAPITOL REEF E 33-6 2H,Power Rig 4,OIL & GAS,"GARDEN CITY, S.",WOLFCAMP,"7,500 ft",2021-12-17,42-151-33220,32.7511762 / -100.5871657,1200,2021-11-03,42,151,192.0,,,
193,Barnett,"CLEAR FORK, INCORPORATED",TX,FISHER,12/27/2021,V,WAHOO 12 1,MCG Drilling 1,OIL & GAS,"FISHER COUNTY,ROYSTON,WILDCAT", ,"6,900 ft",2021-12-22,42-151-33228,32.6651063 / -100.3073538,600,2021-12-06,42,151,193.0,,,
194,Barnett,"PEREGRINE PETROLEUM PRTNR, LTD.",TX,FISHER,12/27/2021,H,WASH C001H,Power Rig 7,OIL & GAS,"GARDEN CITY, S.,WILDCAT",WOLFCAMP,"6,000 ft",2021-12-11,42-151-33226,32.959957 / -100.1838388,1500,2021-12-02,42,151,194.0,,,
195,DJ Basin,THOROUGHBRED ASSOCIATES LLC,NE,FRANKLIN,12/27/2021,V,RUTH 7-1,Murfin 24,OIL,LUERS,ARBUCKLE,"4,500 ft",2021-12-14,26-061-21027,40.3310817 / -99.1670076,400,2021-11-30,26,61,195.0,,,
196,Eagleford,"TRINITY OPERATING (USG), LLC",TX,FRIO,12/27/2021,H,BURNS RANCH E 101H,Ensign T132,OIL & GAS,BRISCOE RANCH,EAGLEFORD,"8,000 ft",2021-12-15,42-163-34273,28.6699193 / -99.0883163,1500,2021-11-09,42,163,196.0,,,
197,Eagleford,"TRINITY OPERATING (USG), LLC",TX,FRIO,12/27/2021,H,MIDWAY SOUTH L 137H,Cactus 161,OIL & GAS,BRISCOE RANCH,EAGLEFORD,"8,000 ft",2021-12-21,42-163-34279,28.6768162 / -99.3903653,1500,2021-12-15,42,163,197.0,,,
198,Gulf Coast,KALER ENERGY CORP.,TX,GALVESTON,12/27/2021,D,JEWELS UNIT A 1,Precision 522,OIL & GAS,"LEAGUE CITY,LEAGUE CITY, NORTH,LEAGUE CITY, WEST","ANDRAU, LOWER, ANDRAU, UPPER, ANDRAU-STRINGER, ANOMALINA, BUTLER, H SAND","12,000 ft",2021-12-26,42-167-31536,29.4905877 / -95.1095867,1200,2020-08-28,42,167,198.0,,,
199,Gulf Coast,"ARENA OFFSHORE, LP",TX,GALVESTON-LB,12/27/2021,D,B003  ,White Fleet 250,OIL & GAS,GA209,"LL-15, RA", ,2021-11-04,42-706-40403,29.1306511 / -94.5467266,1600,2021-01-07,42,706,199.0,,,
200,Offshore,SHELL OFFSHORE INC.,GOM,GARDEN BANKS,12/27/2021,D,A019  ,H&P 406,OIL & GAS,AUGER,R RA, ,2021-12-07,60-807-40104,27.5463857 / -92.4436414,3000,2021-11-24,60,807,200.0,,,
201,Piceance,TEP ROCKY MOUNTAIN LLC,CO,GARFIELD,12/27/2021,D,FEDERAL RWF 31-9,H&P 329,GAS,RULISON,WILLIAMS FORK,"10,236 ft",2021-12-10,05-045-24398,39.5394103 / -107.885241,1500,2020-12-31,5,45,201.0,,,
202,Anadarko,CAMINO NATURAL RESOURCES LLC,OK,GARVIN,12/27/2021,H,BUTCH CASSIDY 0103 28-21-1MXH,Cactus 145,OIL & GAS, ,"MISSISSIPPIAN UNDERTHRUST, SYCAMORE, WOODFORD, WOODFORD UNDERTHRUST","15,950 ft",2021-11-22,35-049-25356,34.5237591 / -97.5206875,1500,2021-11-22,35,49,202.0,,,
203,Anadarko,CONTINENTAL RESOURCES INC,OK,GARVIN,12/27/2021,H,RCL 7-19-30-31XHW,Patterson 590,OIL & GAS, ,"HUNTON, MISSISSIPPIAN, WOODFORD", ,2021-11-28,35-049-25347,34.7240713 / -97.6540495,1500,2021-08-18,35,49,203.0,,,
204,Anadarko,MARATHON OIL COMPANY,OK,GARVIN,12/27/2021,H,YOSHI 0304 2-5-32SXH,Cactus 170,OIL & GAS, ,SPRINGER,"20,588 ft",2021-12-13,35-049-25354,34.7618127 / -97.6451369,1800,2021-11-18,35,49,204.0,,,
205,Anadarko,WARWICK-JUPITER LLC,OK,GARVIN,12/27/2021,H,AD ROCK 0203-24-13 1WHX,Kenai 19,OIL & GAS, ,WOODFORD,"19,800 ft",2021-11-18,35-049-25352,34.6219719 / -97.4689014,1500,2021-09-28,35,49,205.0,,,
