,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id
98,Anadarko,CRAWLEY PETROLEUM CORPORATION,OK,CUSTER,11/22/2021,H,CAMPBELL UNIT 4-6MHX,Cactus 126,OIL & GAS, ,MISSISSIPPIAN,"23,110 ft",2021-11-13,35-039-22596,35.724853 / -98.8400666,1400,2021-10-20,35,39
99,Permian - Midland,"BURLESON PETROLEUM, INC.",TX,DAWSON,11/22/2021,H,MIDLETON 17-7 1MS,Ensign T108,OIL & GAS,SPRABERRY,TREND AREA,"8,100 ft",2021-11-08,42-115-33832,32.5462961 / -102.1283214,1500,2021-05-03,42,115
100,Permian - Midland,"RELIANCE ENERGY, INC.",TX,DAWSON,11/22/2021,H,JW DOLLOR 8-5-44 1MS,Nicklos 7,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-10-21,42-115-33852,32.5880341 / -101.9880199,1500,2021-10-14,42,115
101,Haynesville,AETHON ENERGY OPERATING L,LA,DE SOTO,11/22/2021,H,HA RC SUBB;HEWITT 8-17 HC 003-ALT,Precision 559,UNKNOWN,RED RIVER-BULL BAYOU,HAYNESVILLE SHALE,"22,836 ft",2021-11-12,17-031-27008,32.1352137 / -93.6160146,1800,2021-05-20,17,31
102,Haynesville,"CHESAPEAKE OPERATING, L.L.C",LA,DE SOTO,11/22/2021,H,HA RC SUY;CHK LA MIN 3-13-12 H 002-ALT,Patterson 587,GAS,RED RIVER-BULL BAYOU,HAYNESVILLE,"18,698 ft",2021-11-02,17-031-27026,32.137661 / -93.5784553,1500,2021-06-30,17,31
103,Haynesville,"CHESAPEAKE OPERATING, L.L.C",LA,DE SOTO,11/22/2021,H,HA RA SUY;GILLIAM23&14-13-14HC 001-ALT,Patterson 570,GAS,"GRAND CANE, NORTH",HAYNESVILLE,"23,926 ft",2021-11-09,17-031-27035,32.0940153 / -93.7715527,1200,2021-07-23,17,31
104,Haynesville,"COMSTOCK OIL & GAS--LA, LLC",LA,DE SOTO,11/22/2021,H,HA RA SUII;BSMC LA 5-8-17 HC 001-ALT,Patterson 271,GAS,BENSON,HAYNESVILLE, ,2021-11-11,17-031-27027,31.8892975 / -93.829944,1500,2021-07-09,17,31
105,Haynesville,"COMSTOCK OIL & GAS--LA, LLC",LA,DE SOTO,11/22/2021,H,HA RA SUW;MCCOY 28-33 HC 002-ALT,Patterson 279,UNKNOWN,SPIDER, ,"23,000 ft",2021-11-02,17-031-27032,32.0061154 / -93.810961,1500,2021-07-19,17,31
106,Haynesville,"COMSTOCK OIL & GAS--LA, LLC",LA,DE SOTO,11/22/2021,H,HA RA SUW;OLYMPIA MIN 28-33 HC 002-ALT,Patterson 269,GAS,SPIDER,HAYNESVILLE,"24,000 ft",2021-11-15,17-031-27045,32.0041547 / -93.8069707,1500,2021-08-27,17,31
107,Haynesville,"EXCO OPERATING COMPANY, LP",LA,DE SOTO,11/22/2021,H,HA RA SUV;KILLIAN 7-6 HC 001-ALT,Nabors X33,GAS,KINGSTON,HAYNESVILLE,"23,000 ft",2021-11-03,17-031-27050,32.2048545 / -93.7433767,1500,2021-09-22,17,31
108,Haynesville,"GEP HAYNESVILLE, LLC",LA,DE SOTO,11/22/2021,H,JUR RA SUB;MARY G 21-28 HC 003-ALT,H&P 444,GAS,BRUSHY BAYOU,JUR,"24,000 ft",2021-11-08,17-031-27048,31.9348834 / -93.6080226,1500,2021-09-21,17,31
109,Haynesville,"MAXIMUS OPERATING, LTD.",LA,DE SOTO,11/22/2021,V,PET RA SU97;BRANCH RANCH 5 001,Reliance 1,GAS,CASPIANA,SLIGO-PETTIT,"7,000 ft",2021-11-21,17-031-27057,32.1494331 / -93.6223252,800,2021-10-07,17,31
110,Haynesville,VINE ENERGY OPERATING LP,LA,DE SOTO,11/22/2021,H,HA RA SUGG;GALLASPY 26-23 HC 002-ALT,Cactus 149,UNKNOWN,TRENTON,HAYNESVILLE,"21,000 ft",2021-10-31,17-031-27015,31.904381 / -93.6757879,1500,2021-08-03,17,31
111,Haynesville,VINE ENERGY OPERATING LP,LA,DE SOTO,11/22/2021,H,HA RA SUGG;SAN PAT 26-23 HC 001-ALT,Cactus 165,UNKNOWN,TRENTON,HAYNESVILLE,"21,000 ft",2021-11-15,17-031-27033,31.9042825 / -93.6741473,1500,2021-08-03,17,31
112,DJ Basin,"BLACK OAK EXPLORATION, LLC",KS,DECATUR,11/22/2021,V,JUENEMANN 1-28,Murfin 110,OIL, ,MISSISSIPPIAN,"4,600 ft",2021-11-21,15-039-21275,39.5947588 / -100.701499,550,2021-11-17,15,39
113,Anadarko,BLAKE PRODUCTION COMPANY INC,OK,DEWEY,11/22/2021,H,BIG CAT 1717 1-15-10-XHM,Power Rig 6,OIL & GAS, ,RED FORK,"17,038 ft",2021-11-19,35-043-23733,35.9419499 / -99.0048986,1200,2021-11-04,35,43
114,Anadarko,COMANCHE EXPLORATION CO LLC,OK,DEWEY,11/22/2021,H,EVANS 18-1H,Atlas 7,OIL & GAS, ,MISSISSIPPIAN,"15,011 ft",2021-11-18,35-043-23728,36.0429697 / -98.7322962,1000,2021-09-14,35,43
115,Anadarko,MEWBOURNE OIL COMPANY,OK,DEWEY,11/22/2021,H,POLLOCK 3 OB 2H,Patterson 576,OIL & GAS, ,RED FORK,"14,400 ft",2021-10-20,35-043-23725,35.9704337 / -98.9985818,1200,2021-07-13,35,43
116,Eagleford,BURLINGTON RESOURCES O & G CO LP,TX,DEWITT,11/22/2021,H,MAURER UNIT D 6,H&P 256,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"17,000 ft",2021-11-16,42-123-34257,29.1382901 / -97.5331043,1500,2020-03-20,42,123
117,Eagleford,"DEVON ENERGY PRODUCTION CO, L.P.",TX,DEWITT,11/22/2021,H,ZGABAY A 14H,H&P 541,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"16,000 ft",2021-11-11,42-123-35100,29.2586184 / -97.3900061,1500,2021-07-16,42,123
118,Eagleford,ENSIGN OPERATING LLC,TX,DEWITT,11/22/2021,H,AFFLERBACH 01 - R01 - M01 D 04H,H&P 372,OIL & GAS,DE WITT,EAGLE FORD SHALE,"25,000 ft",2021-11-18,42-123-35122,29.0233864 / -97.5369145,1500,2021-10-21,42,123
119,Eagleford,"REPSOL OIL & GAS USA, LLC",TX,DEWITT,11/22/2021,H,SEILER-GANO (SA) B4 B 4H,Precision 568,OIL & GAS,SUGARKANE,EAGLE FORD,"15,000 ft",2021-11-08,42-123-34831,28.9774675 / -97.6053428,1500,2019-06-10,42,123
120,Eagleford,"CML EXPLORATION, LLC",TX,DIMMIT,11/22/2021,H,BALFOUR 1,Patterson 233,OIL & GAS,PENA CREEK,GEORGETOWN,"7,500 ft",2021-11-11,42-127-38440,28.5863713 / -99.6842043,1500,2021-10-26,42,127
121,Eagleford,"GRIT OIL & GAS MANAGEMENT, LLC",TX,DIMMIT,11/22/2021,H,SAN PEDRO RANCH 1306H,Savanna 654,OIL,HUGH FITZSIMMONS,SAN MIGUEL,"3,950 ft",2021-11-06,42-127-38439,28.3075825 / -100.0751511,1200,2021-10-21,42,127
122,Eagleford,"SN EF MAVERICK, LLC",TX,DIMMIT,11/22/2021,H,ROGERS DENTONIO 26 UNIT 01HA,Independence 301,OIL & GAS,BRISCOE RANCH,EAGLEFORD,"8,000 ft",2021-11-15,42-127-38420,28.298619 / -99.9567944,1500,2021-09-17,42,127
123,Eagleford,"TRINITY OPERATING (USG), LLC",TX,DIMMIT,11/22/2021,H,NANCE RANCH A UNIT 1H,Cactus 161,OIL & GAS,BRISCOE RANCH,EAGLEFORD,"8,000 ft",2021-11-15,42-127-38385,28.5857211 / -99.5910964,1500,2021-06-24,42,127
124,Bakken,"KODA RESOURCES OPERATING, LLC",ND,DIVIDE,11/22/2021,H,STOUT 3427-3BH,Cyclone 35,OIL & GAS,FERTILE VALLEY,BAKKEN,"19,741 ft",2021-11-16,33-023-01447,48.6343932 / -103.8617887,1500,2020-08-20,33,23
125,Uintah,"EP ENERGY E&P COMPANY, LP",UT,DUCHESNE,11/22/2021,H,PRESBYTERY 8-15-16-C4-2H,Nabors X18,OIL,ALTAMONT,UTELAND BUTTE,"19,979 ft",2021-11-18,43-013-54058,40.1805229 / -110.3116837,1500,2021-01-19,43,13
126,Uintah,"EP ENERGY E&P COMPANY, LP",UT,DUCHESNE,11/22/2021,,LAKE FORK RANCH 5-26-25-B4-5H,Nabors X26,UNKNOWN, , , ,2021-11-13,43-013-54095,40.2817154 / -110.3145218,1500, ,43,13
127,Uintah,"XCL ASSETCO, LLC",UT,DUCHESNE,11/22/2021,H,FLAMING DRAGON 73-2526-23S,H&P 520,OIL,BLUEBELL,GREEN RIVER - LOWER,"20,077 ft",2021-11-07,43-013-54169,40.2782401 / -110.1588162,1500,2021-09-14,43,13
128,Uintah,"XCL ASSETCO, LLC",UT,DUCHESNE,11/22/2021,H,FLAMING DRAGON 68-2526-23O,H&P 524,OIL,BLUEBELL,UTELAND BUTTE,"20,415 ft",2021-10-28,43-013-54167,40.2782029 / -110.1581797,1500,2021-09-16,43,13
129,DJ Basin,"MURFIN DRILLING COMPANY, INC",NE,DUNDY,11/22/2021,,HESTER 1-34,Murfin 3,UNKNOWN, , , ,2021-11-18,26-057-21925,40.2726974 / -101.8291321,400, ,26,57
130,Bakken,"CONTINENTAL RESOURCES, INC.",ND,DUNN,11/22/2021,H,THORP FEDERAL 8-28H,Nabors B01,UNKNOWN,LITTLE KNIFE, , ,2021-11-06,33-025-04335,47.6271455 / -103.0530819,1500,2021-08-25,33,25
131,Bakken,"CONTINENTAL RESOURCES, INC.",ND,DUNN,11/22/2021,H,WHITMAN FIU 13-34HSL1,Nabors B06,UNKNOWN,OAKDALE, , ,2021-11-07,33-025-04340,47.5157983 / -102.8897397,1500,2021-09-02,33,25
132,Bakken,"CONTINENTAL RESOURCES, INC.",ND,DUNN,11/22/2021,H,WHITMAN FIU 4-34H1,Cyclone 38,UNKNOWN,OAKDALE, , ,2021-11-12,33-025-04377,47.5155077 / -102.9057576,1500,2021-10-13,33,25
133,Bakken,"CONTINENTAL RESOURCES, INC.",ND,DUNN,11/22/2021,H,FLINT CHIPS FEDERAL 9-5H1,H&P 454,CONFIDENTIAL,CEDAR COULEE, , ,2021-11-16,33-025-04179,47.5732532 / -102.9366287,1500,2021-02-09,33,25
134,Bakken,ENERPLUS RESOURCES USA CORPORATION,ND,DUNN,11/22/2021,H,MINNOW 149-94-36C-25H,True 40,OIL & GAS,SQUAW CREEK,BAKKEN,"21,458 ft",2021-11-19,33-025-03923,47.6717808 / -102.6496682,1500,2020-12-08,33,25
135,Bakken,HUNT OIL COMPANY,ND,DUNN,11/22/2021,,QUILL 145-93-10-3H 3,H&P 640,UNKNOWN, , , ,2021-11-16,33-025-04341,47.3872452 / -102.5181427,1500, ,33,25
136,Bakken,MARATHON OIL COMPANY,ND,DUNN,11/22/2021,H,WEEKES 14-8TFH,H&P 259,OIL & GAS,BAILEY,BAKKEN,"21,290 ft",2021-11-07,33-025-04367,47.4720254 / -102.5686556,1500,2021-09-29,33,25
137,Bakken,MARATHON OIL COMPANY,ND,DUNN,11/22/2021,H,BEAU 11-18TFH,H&P 535,OIL & GAS,BAILEY,BAKKEN,"21,314 ft",2021-11-10,33-025-04356,47.4722907 / -102.5864232,1500,2021-09-21,33,25
138,Bakken,MARATHON OIL COMPANY,ND,DUNN,11/22/2021,H,KONSTANTIN 11-3H,Nabors X10,OIL & GAS,BAILEY,BAKKEN,"21,077 ft",2021-11-18,33-025-04112,47.5008702 / -102.6508856,1500,2021-08-12,33,25
139,Gulf Coast,"SAFARI PRODUCTION COMPANY, INC.",TX,DUVAL,11/22/2021,V,MOBIL FEE 5,Energy 16,GAS,DESTINO,"LOWER HOUSE, SLICK B, WX. ""W"" SAND, WX. MIDDLE HOUSE, WX. RONNIE SD.","14,645 ft",2021-11-18,42-131-38234,27.7507718 / -98.6056661,2000,2021-11-03,42,131
140,Permian - Midland,FIREBIRD ENERGY LLC,TX,ECTOR,11/22/2021,H,BOPIE 2734 C 102H,NorAm 25,OIL & GAS,SPRABERRY,TREND AREA,"10,000 ft",2021-11-05,42-135-43817,31.7444485 / -102.3319564,1800,2021-07-16,42,135
141,Permian - Midland,FIREBIRD ENERGY LLC,TX,ECTOR,11/22/2021,H,BOPIE 2734 F 203H,NorAm 28,OIL & GAS,SPRABERRY,TREND AREA,"10,000 ft",2021-11-07,42-135-43814,31.7430481 / -102.3382718,1900,2021-07-16,42,135
142,Permian - Delaware,CHEVRON USA INCORPORATED,NM,EDDY,11/22/2021,H,CICADA UNIT 038H,Patterson 257,GAS,PURPLE SAGE,WOLFCAMP (GAS),"20,600 ft",2021-11-12,30-015-46347,32.094425 / -104.1639142,1500,2019-10-07,30,15
143,Permian - Delaware,COG OPERATING LLC,NM,EDDY,11/22/2021,H,SCOUT STATE COM 606H,H&P 486,GAS,PURPLE SAGE,WOLFCAMP,"24,173 ft",2021-11-18,30-015-46960,32.164259 / -104.133026,1500,2020-04-03,30,15
144,Permian - Delaware,COG OPERATING LLC,NM,EDDY,11/22/2021,H,SCOUT STATE COM 603H,Scan Quest,GAS,PURPLE SAGE,WOLFCAMP (GAS),"24,852 ft",2021-11-14,30-015-46957,32.1656908 / -104.1270035,1500,2020-04-03,30,15
145,Permian - Delaware,"COLGATE OPERATING, LLC",NM,EDDY,11/22/2021,H,BLACK DIAMOND 34 FED 122H,H&P 510,OIL,PARKWAY,BONE SPRING,"15,655 ft",2021-11-16,30-015-47821,32.6206137 / -104.0551828,1500,2020-12-15,30,15
146,Permian - Delaware,"COLGATE OPERATING, LLC",NM,EDDY,11/22/2021,H,BLACK DIAMOND 34 FED 133H,Nabors M7506,OIL,PARKWAY,BONE SPRING,"16,804 ft",2021-11-21,30-015-47824,32.6130653 / -104.0552545,1150,2020-12-15,30,15
147,Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",NM,EDDY,11/22/2021,H,MR POTATO HEAD 11-14 FED COM 624H,H&P 265,OIL,EAST PIERCE CROSSING,BONE SPRING,"20,683 ft",2021-11-16,30-015-46702,32.2390813 / -103.9484884,1500,2020-02-10,30,15
148,Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",NM,EDDY,11/22/2021,H,MR POTATO HEAD 11 14 FEDERAL COM 711H,Cactus 108,GAS,PURPLE SAGE,WOLFCAMP (GAS),"20,700 ft",2021-11-17,30-015-46422,32.2384465 / -103.9604259,2500,2019-10-28,30,15
149,Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",NM,EDDY,11/22/2021,H,COTTON DRAW UNIT 605H,Cactus 132,OIL,PURPLE SAGE,WOLFCAMP (GAS),"19,133 ft",2021-11-15,30-015-47297,32.194483 / -103.7489408,2000,2020-07-16,30,15
150,Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",NM,EDDY,11/22/2021,H,TODD 36-25 STATE FED COM 338H,Nabors M7503,OIL,SOUTH SAND DUNES,BONE SPRING,"22,004 ft",2021-11-18,30-015-47324,32.2541311 / -103.7259394,1150,2020-08-11,30,15
151,Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",NM,EDDY,11/22/2021,H,COTTON DRAW UNIT 602H,Cactus 129,OIL,PURPLE SAGE,WOLFCAMP (GAS),"18,848 ft",2021-11-10,30-015-47300,32.1945397 / -103.7533651,2000,2020-07-17,30,15
152,Permian - Delaware,"EOG RESOURCES, INC.",NM,EDDY,11/22/2021,H,DEEP ELEM 4 FED COM 704H,Nabors 1206,OIL,PURPLE SAGE,WOLFCAMP (GAS),"21,768 ft",2021-11-12,30-015-48583,32.0657897 / -103.7811462, ,2021-06-21,30,15
153,Permian - Delaware,"EOG RESOURCES, INC.",NM,EDDY,11/22/2021,H,DIRE WOLF 12 FED 729H,Nabors 1210,OIL,PURPLE SAGE,WOLFCAMP (GAS),"18,666 ft",2021-11-18,30-015-47649,32.0544417 / -103.8343942, ,2020-11-10,30,15
154,Permian - Delaware,"LONGFELLOW ENERGY, LP",NM,EDDY,11/22/2021,H,ELVIS STATE COM 29A 002H,AKITA 524,OIL,ARTESIA,GLORIETA-YESO (O),"9,357 ft",2021-11-17,30-015-48183,32.8102153 / -104.1874628,1500,2021-04-22,30,15
155,Permian - Delaware,MATADOR PRODUCTION COMPANY,NM,EDDY,11/22/2021,H,JOE HOLLINGSWORTH FEE 136H,Patterson 810,OIL,SOUTH CULEBRA BLUFF,BONE SPRING,"18,423 ft",2021-11-13,30-015-49009,32.3830316 / -104.1003522,1500,2021-10-28,30,15
156,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,11/22/2021,H,FOREIGNER 33/4 W0IP FED COM 2H,Patterson 594,GAS,PURPLE SAGE,WOLFCAMP (GAS),"17,258 ft",2021-11-04,30-015-48923,32.2608402 / -104.0908186,1500,2021-08-30,30,15
157,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,11/22/2021,H,ITHACA 15/14 W0EF FED COM 1H,Patterson 558,GAS,GATUNA CANYON,WOLFCAMP,"17,005 ft",2021-11-16,30-015-49004,32.5770076 / -104.0707937,1500,2021-10-12,30,15
158,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,11/22/2021,H,CASAMIGOS 2 W1OB STATE COM 1H,Patterson 816,GAS,PURPLE SAGE,WOLFCAMP (GAS),"15,457 ft",2021-11-14,30-015-48608,32.0652416 / -103.9495482,1500,2021-06-25,30,15
159,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,11/22/2021,H,SAN LORENZO 9 W1PA FEE 001H,Patterson 263,GAS,PURPLE SAGE,WOLFCAMP (GAS),"14,470 ft",2021-11-04,30-015-48916,32.1381916 / -104.0922035,1500,2021-09-01,30,15
160,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,11/22/2021,H,FULLER 14/23 W2JO FED 2H,Patterson 245,GAS,PURPLE SAGE,WOLFCAMP (GAS),"18,164 ft",2021-11-04,30-015-44452,32.0420904 / -103.9465717,1500,2017-09-28,30,15
161,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,11/22/2021,H,HOSS 2/11 W1AP FED COM 2H,Patterson 560,GAS,PURPLE SAGE,WOLFCAMP (GAS),"19,848 ft",2021-11-10,30-015-48285,32.1656766 / -104.0531858,1500,2021-05-06,30,15
162,Permian - Delaware,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NM,EDDY,11/22/2021,H,ASTRODOG FED COM 0809 232H,Precision 596,GAS,PURPLE SAGE,WOLFCAMP (GAS),"18,706 ft",2021-11-18,30-015-48696,32.3239445 / -104.0120499,1800,2021-07-01,30,15
163,Permian - Delaware,SPUR ENERGY PARTNERS LLC,NM,EDDY,11/22/2021,H,DARNER 9 STATE 070H,AKITA 57,OIL,EAST EMPIRE,GLORIETA-YESO,"10,373 ft",2021-11-14,30-015-48728,32.8453086 / -104.0896829,1150,2021-07-16,30,15
164,Permian - Delaware,"TAP ROCK OPERATING, LLC",NM,EDDY,11/22/2021,H,MISO STATE 163H,H&P 466,GAS,PURPLE SAGE,WOLFCAMP (GAS),"13,243 ft",2021-11-03,30-015-46535,32.0653744 / -104.3630625,1500,2019-12-26,30,15
165,Permian - Delaware,"XTO ENERGY, INC.",NM,EDDY,11/22/2021,H,REMUDA SOUTH 25 STATE 709H,Nabors X32,OIL,"FORTY NINER RIDGE BONE SPRING,WEST",BONE SPRING,"16,838 ft",2021-11-18,30-015-48540,32.2765912 / -103.931687,1500,2021-06-21,30,15
166,Permian - Delaware,XTO PERMIAN OPERATING LLC.,NM,EDDY,11/22/2021,H,BIG EDDY UNIT 30E SKYWALKER 104H,H&P 552,OIL,WC WILLIAMS SINK,BONE SPRING,"19,794 ft",2021-11-11,30-015-46937,32.568971 / -103.8462899,1500,2020-03-31,30,15
167,Northeast,SENECA RESOURCES CORP,PA,ELK,11/22/2021,H,SRC WT 2333 402HU 53364,Falcon 27,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"23,545 ft",2021-11-15,37-047-25111,41.5699823 / -78.4429317,850,2021-08-03,37,47
168,Anadarko,MEWBOURNE OIL COMPANY,OK,ELLIS,11/22/2021,H,THELMA 8/17 AP 1H,Patterson 287,OIL & GAS, ,CHEROKEE,"20,104 ft",2021-11-18,35-045-23844,36.057489 / -99.7783166,1500,2021-09-14,35,45
169,Sedgwick,"TDI, INC.",KS,ELLIS,11/22/2021,V,ARMBRUSTER 1,Southwind 8,OIL,SHOENTHALER SOUTHWEST,ARBUCKLE,"3,900 ft",2021-11-16,15-051-27014,38.9488785 / -99.4998837,550,2021-09-14,15,51
170,Gulf Coast,"ARENA OFFSHORE, LP",LA,EUGENE IS. OFFSHORE,11/22/2021,D,K008  ,White Fleet 350,OIL & GAS,EI238,C-15 FB-K7, ,2021-11-15,17-709-41304,28.5334121 / -91.4959107, ,2021-02-19,17,709
171,Offshore,"ENVEN ENERGY VENTURES, LLC",GOM,EWING BANK,11/22/2021,D,A011  ,Nabors MODS 200,OIL & GAS,LOBSTER/OYSTER,BUL-1, ,2021-09-27,60-810-50050,28.1012357 / -90.2021894,2000,2021-09-15,60,810
172,Eagleford,"DALLAS PETROLEUM GROUP, LLC",TX,FAYETTE,11/22/2021,H,SAMPSON-MUELLER UNIT 4H,Independence 230,OIL,GIDDINGS,AUSTIN CHALK-3,"10,800 ft",2021-11-14,42-149-33532,30.0952619 / -96.8088277, ,2021-11-05,42,149
173,Eagleford,INEOS USA OIL & GAS LLC,TX,FAYETTE,11/22/2021,H,CLIFFHANGER OL UNIT 2H,H&P 511,OIL,GIDDINGS,AUSTIN CHALK-3,"8,300 ft",2021-11-19,42-149-33530,29.9622059 / -97.036314,1500,2021-10-15,42,149
174,Eagleford,VERDUN OIL & GAS LLC,TX,FAYETTE,11/22/2021,H,PASSCHENDAELE 1H,Nabors 1204,GAS,GIDDINGS,"AUSTIN CHALK, GAS","15,000 ft",2021-10-26,42-149-33529,30.0042031 / -96.6191381, ,2021-09-16,42,149
175,Barnett,"BROWNING OIL COMPANY, INC.",TX,FISHER,11/22/2021,H,GRAND TETON 109-128 1H,Power Rig 2,OIL & GAS,"GARDEN CITY, S.",WOLFCAMP,"7,500 ft",2021-11-16,42-151-33224,32.8284054 / -100.5095386,1200,2021-11-08,42,151
176,Barnett,"BROWNING OIL COMPANY, INC.",TX,FISHER,11/22/2021,H,CARLSBAD CAVERNS 54-55 1H,Power Rig 4,OIL & GAS,"GARDEN CITY, S.",WOLFCAMP,"7,500 ft",2021-11-21,42-151-33227,32.8210759 / -100.5408025,1200,2021-11-17,42,151
177,Barnett,"CLEAR FORK, INCORPORATED",TX,FISHER,11/22/2021,V,CASAMIGOS 55 1,MCG Drilling 1,OIL & GAS,"CAMP SPRINGS, SE.,FISHER COUNTY,NOODLE, W.,WILDCAT","NOODLE CREEK, STRAWN","6,800 ft",2021-11-08,42-151-33222,32.8051544 / -100.5355598,600,2021-11-02,42,151
178,Barnett,"PEREGRINE PETROLEUM PRTNR, LTD.",TX,FISHER,11/22/2021,H,DOUBLE M B004H,Power Rig 7,OIL,WILDCAT, ,"7,000 ft",2021-11-15,42-151-33217,32.959254 / -100.1972065,1500,2021-10-22,42,151
179,,"GESELL'S PUMP SALES & SERVICE, INC",,FRANKLIN,11/22/2021,,U.S. COAL AND COKE 3B,George Mitchell 9,UNKNOWN, , , ,2021-11-08, ,38.0521469 / -88.8529968,600, ,0,0
180,Eagleford,"ROSEWOOD RESOURCES, INC.",TX,FRIO,11/22/2021,H,ORELIA RANCH D 1H,Nabors 1202,OIL,BRISCOE RANCH,EAGLEFORD,"8,700 ft",2021-11-13,42-163-34269,28.6895228 / -98.8828387, ,2021-09-24,42,163
181,Eagleford,"TRINITY OPERATING (USG), LLC",TX,FRIO,11/22/2021,H,BURNS RANCH E 101H,Ensign T132,OIL & GAS,BRISCOE RANCH,EAGLEFORD,"8,000 ft",2021-11-19,42-163-34273,28.6699193 / -99.0883163,1500,2021-11-09,42,163
182,Permian - Midland,"BASIN OIL & GAS OPERATING, LLC",TX,GAINES,11/22/2021,V,CONEJOS 317 191,Savanna 650,OIL & GAS,"FLOREY,FLYING -N-,WILDCAT","QUEEN, SAN ANDRES","7,000 ft",2021-10-14,42-165-38831,32.5369362 / -102.3898031,1200,2021-09-21,42,165
183,Permian - Midland,SLOAN PETROLEUM INC.,TX,GAINES,11/22/2021,H,R. WHITAKER 1H,Norton 2,OIL,AMROW,DEVONIAN,"12,745 ft",2021-10-31,42-165-00116,32.5875326 / -102.4523704,1000,2021-10-27,42,165
184,Piceance,TEP ROCKY MOUNTAIN LLC,CO,GARFIELD,11/22/2021,D,FEDERAL RWF 332-9,H&P 329,GAS,RULISON,WILLIAMS FORK,"9,743 ft",2021-11-16,05-045-24401,39.5393495 / -107.8852808,1500,2020-12-31,5,45
185,Anadarko,COMMAND ENERGY OPERATING LLC,OK,GARVIN,11/22/2021,D,THUNDERBIRD 1-25,Dan D 2,OIL & GAS, ,DYKEMAN,"4,100 ft",2021-11-13,35-049-25353,35.1317399 / -96.7444038,500,2021-10-27,35,49
186,Anadarko,CONTINENTAL RESOURCES INC,OK,GARVIN,11/22/2021,H,RCL 6-19-30-31XHW,Patterson 590,OIL & GAS, ,"HUNTON, MISSISSIPPIAN, WOODFORD", ,2021-10-14,35-049-25346,34.72414 / -97.6541106,1500,2021-08-18,35,49
187,Anadarko,CONTINENTAL RESOURCES INC,OK,GARVIN,11/22/2021,H,RCL 4-19-30-31XHW,H&P 543,OIL & GAS, ,"HUNTON, MISSISSIPPIAN, WOODFORD", ,2021-11-04,35-049-25345,34.722774 / -97.66444,1500,2021-08-03,35,49
188,Anadarko,CONTINENTAL RESOURCES INC,OK,GARVIN,11/22/2021,H,RCL 5-30-19XHW,Patterson 592,OIL & GAS, ,"HUNTON, MISSISSIPPIAN, WOODFORD","24,913 ft",2021-10-31,35-049-25348,34.6967131 / -97.6577572,1500,2021-08-18,35,49
189,Anadarko,WARWICK-JUPITER LLC,OK,GARVIN,11/22/2021,H,AD ROCK 0203-24-13 1WHX,Kenai 19,OIL & GAS, ,WOODFORD,"19,800 ft",2021-11-17,35-049-25352,34.6219719 / -97.4689014,1500,2021-09-28,35,49
190,Permian - Midland,"CROWNQUEST OPERATING, LLC",TX,GLASSCOCK,11/22/2021,H,REMINGTON 5HB,Citadel 5,OIL & GAS,SPRABERRY,TREND AREA,"8,990 ft",2021-11-12,42-173-38451,31.8504445 / -101.7491104, ,2021-03-16,42,173
191,Permian - Midland,"CROWNQUEST OPERATING, LLC",TX,GLASSCOCK,11/22/2021,H,HENRY 2HB,Citadel 1,OIL & GAS,SPRABERRY,TREND AREA,"8,900 ft",2021-11-10,42-173-38424,31.8516398 / -101.7441917, ,2021-02-22,42,173
192,Permian - Midland,"CROWNQUEST OPERATING, LLC",TX,GLASSCOCK,11/22/2021,H,LEXINGTON F 11JM,Advanced Energy 36,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-11-14,42-173-38550,31.8798125 / -101.7534403,500,2021-09-20,42,173
193,Permian - Midland,OXY USA INC.,TX,GLASSCOCK,11/22/2021,H,E.L. POWELL BC 1681CP,H&P 480,OIL & GAS,SPRABERRY,TREND AREA,"11,000 ft",2021-11-18,42-173-38518,31.9275055 / -101.6681414,1500,2021-07-19,42,173
194,Permian - Midland,OXY USA INC.,TX,GLASSCOCK,11/22/2021,H,E.L. POWELL BC 1687CP,H&P 617,OIL & GAS,SPRABERRY,TREND AREA,"11,000 ft",2021-11-14,42-173-38519,31.931194 / -101.6583481,1500,2021-07-19,42,173
