,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id,Unnamed: 0
375,Permian - Delaware,MEWBOURNE OIL CO,NM,LEA,12/14/2021,H,RED HILLS WEST 22 W0BO FED COM 2H,Patterson 575,GAS,WC,UPPER WOLFCAMP,"17,020 ft",2021-11-26,30-025-49213,32.0335801 / -103.6580701,1200,2021-07-21,30,25,
376,Permian - Delaware,MEWBOURNE OIL CO,NM,LEA,12/14/2021,H,RED HILLS WEST 22 W0BO FED COM 4H,Patterson 809,GAS,WC,UPPER WOLFCAMP,"16,975 ft",2021-12-05,30-025-49214,32.0351785 / -103.6642655,1500,2021-07-21,30,25,
377,Permian - Delaware,MEWBOURNE OIL CO,NM,LEA,12/14/2021,H,CABRA NINO 14 11 B2MD STATE COM 002H,Patterson 588,OIL,OJO CHISO,BONE SPRING,"20,304 ft",2021-11-26,30-025-49268,32.3851608 / -103.4451204,1500,2021-07-30,30,25,
378,Permian - Delaware,OXY USA INCORPORATED,NM,LEA,12/14/2021,H,"TACO CAT ""27_34"" FEDERAL COM 35H",Citadel 2,OIL,WC,UPPER WOLFCAMP,"22,754 ft",2021-11-26,30-025-46937,32.3691508 / -103.6582378, ,2020-03-05,30,25,
379,Permian - Delaware,SPUR ENERGY PARTNERS LLC,NM,LEA,12/14/2021,H,TRIPLETAIL 12 STATE 020H,Burton 10,OIL,WEST MALJAMAR,YESO,"11,915 ft",2021-12-08,30-025-49501,32.8541617 / -103.7282499, ,2021-11-02,30,25,
380,Permian - Delaware,"STEWARD ENERGY II, LLC",NM,LEA,12/14/2021,H,ROOF PIZZA FEE 005H,Norton 8,OIL,SOUTH BRONCO,SAN ANDRES,"11,000 ft",2021-12-11,30-025-49481,33.1680572 / -103.0894804,1000,2021-10-26,30,25,
381,Permian - Delaware,"TAP ROCK OPERATING, LLC",NM,LEA,12/14/2021,H,PROMETHEUS STATE COM 136H,H&P 376,OIL,WC,UPPER WOLFCAMP,"22,645 ft",2021-11-23,30-025-48763,32.1981631 / -103.5597681,1500,2021-04-30,30,25,
382,Permian - Delaware,"TAP ROCK OPERATING, LLC",NM,LEA,12/14/2021,H,POSEIDON STATE COM 225H,H&P 425,OIL,WC,UPPER WOLFCAMP,"21,907 ft",2021-12-02,30-025-48671,32.2258523 / -103.5824234,1500,2021-04-16,30,25,
383,Permian - Delaware,"TAP ROCK OPERATING, LLC",NM,LEA,12/14/2021,H,PROMETHEUS STATE COM 222H,H&P 388,OIL,WC,UPPER WOLFCAMP,"23,250 ft",2021-12-07,30-025-48743,32.1979429 / -103.5627324,1500,2021-04-28,30,25,
384,Permian - Delaware,"TAP ROCK OPERATING, LLC",NM,LEA,12/14/2021,H,POSEIDON STATE COM 222H,H&P 312,OIL,WC,UPPER WOLFCAMP,"23,284 ft",2021-11-25,30-025-48674,32.2268802 / -103.5790217,1500,2021-04-16,30,25,
385,Permian - Delaware,"TAP ROCK OPERATING, LLC",NM,LEA,12/14/2021,H,PROMETHEUS STATE COM 134H,H&P 261,OIL,WC,UPPER WOLFCAMP,"22,626 ft",2021-12-07,30-025-48762,32.1981353 / -103.5565517,1500,2021-04-30,30,25,
386,Permian - Delaware,"TAP ROCK OPERATING, LLC",NM,LEA,12/14/2021,H,PROMETHEUS STATE COM 131H,H&P 264,OIL,WC,UPPER WOLFCAMP,"22,475 ft",2021-11-23,30-025-48727,32.1987574 / -103.5679985,1500,2021-04-28,30,25,
387,Permian - Delaware,"TITUS OIL & GAS PRODUCTION, LLC",NM,LEA,12/14/2021,H,LONESOME DOVE FED COM 434H,H&P 616,OIL,SOUTHWEST JABALINA,WOLFCAMP,"21,565 ft",2021-12-07,30-025-49526,29.7305917 / -95.2483321,1500,2021-11-04,30,25,
388,Permian - Delaware,"TITUS OIL & GAS PRODUCTION, LLC",NM,LEA,12/14/2021,H,LONESOME DOVE FED COM 204H,H&P 474,OIL,WC,BONE SPRING,"19,855 ft",2021-12-02,30-025-49541,32.0403507 / -103.3914739,1500,2021-11-09,30,25,
389,Permian - Delaware,"TITUS OIL & GAS PRODUCTION, LLC",NM,LEA,12/14/2021,H,CATTLEMEN FED COM 432H,H&P 625,OIL,JABALINA,"WOLFCAMP, SOUTHWEST","20,939 ft",2021-11-30,30-025-48128,32.0447163 / -103.3914849,1500,2020-12-08,30,25,
390,Permian - Delaware,"TITUS OIL & GAS PRODUCTION, LLC",NM,LEA,12/14/2021,H,CATTLEMEN FED COM 403H,H&P 656,OIL,WC-025 G-08 S263412K,BONE SPRING,"21,437 ft",2021-12-07,30-025-48126,32.0449687 / -103.3877516, ,2020-12-08,30,25,
391,Northeast,"HG ENERGY II APPALACHIA, LLC",WV,LEWIS,12/14/2021,H,EVANS 1213 N-2H  ,Precision 575,UNKNOWN, ,MARCELLUS SHALE, ,2021-12-07,47-041-05718,39.1155606 / -80.5149685,1500,2021-05-03,47,41,
392,Arkoma,PRAIRIE GAS COMPANY OF OKLAHOMA LLC,OK,LINCOLN,12/14/2021,H,JANZEN 1-32 HP,Dan D 20,OIL & GAS, ,PRUE,"8,759 ft",2021-12-07,35-081-24322,35.6376648 / -96.803962,750,2021-10-26,35,81,
393,Anadarko,UPLAND RESOURCES LLC,TX,LIPSCOMB,12/14/2021,V,PEYTON RANCH 183 2,Power Rig 1,OIL & GAS,"COBURN,LIPSCOMB,LIPSCOMB, EAST,LIPSCOMB, S.","DOUGLAS, HEPLER, MISS., MORROW UPPER, MORROW, LO., TONKAWA","12,000 ft",2021-12-09,42-295-34388,36.1125932 / -100.1151211,1200,2021-10-21,42,295,
394,Eagleford,BURLINGTON RESOURCES O & G CO LP,TX,LIVE OAK,12/14/2021,H,MARY KRAUSE UNIT A 5,H&P 450,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"17,000 ft",2021-12-07,42-297-36174,28.7109423 / -98.1158837,1500,2021-11-15,42,297,
395,Eagleford,BURLINGTON RESOURCES O & G CO LP,TX,LIVE OAK,12/14/2021,H,1893 G-H USW D 1,H&P 464,OIL & GAS,SUGARKANE,EAGLE FORD,"17,500 ft",2021-12-07,42-297-36164,28.5843744 / -98.1967018,1500,2021-09-09,42,297,
396,Eagleford,"HURD ENTERPRISES, LTD.",TX,LIVE OAK,12/14/2021,V,PEDIGO ETAL GU 1,LAUSON 5,OIL & GAS,"HARRIS,KENDALL,LIMES,OAKVILLE,WILDCAT","TARA, WILCOX, WILCOX CONS., WILCOX-, WILCOX-MASSIVE","10,500 ft",2021-12-07,42-297-36180,28.3575881 / -98.1227038, ,2021-11-23,42,297,
397,West Coast,SOUTHERN CALIFORNIA GAS COMPANY,CA,LOS ANGELES,12/14/2021,U,WEZU 18 E,Ensign 551,STORAGE,HONOR RANCHO,WAYSIDE 13, ,2021-09-28,04-037-30575,34.4515941 / -118.5919183, ,2020-09-15,4,37,
398,Anadarko,TRAILHEAD EXPLORATION LLC,OK,LOVE,12/14/2021,H,THE RANGER 1-5H8X17,Nabors X21,OIL & GAS, ,"MISSISSIPPIAN, SYLVAN, WOODFORD", ,2021-09-11,35-085-21331,33.8829849 / -97.0146473,1500,2021-08-12,35,85,
399,Anadarko,XTO ENERGY INC,OK,LOVE,12/14/2021,H,MILLER 1-28H20X17X8R,H&P 648,OIL & GAS, ,"CANEY, HUNTON, WOODFORD", ,2021-10-13,35-085-21333,33.9251395 / -97.107604, ,2021-08-12,35,85,
400,Anadarko,XTO ENERGY INC,OK,LOVE,12/14/2021,H,ALMA 1-12H13X24,H&P 649,OIL & GAS, ,"HUNTON, MISSISSIPPIAN, WOODFORD", ,2021-09-21,35-085-21322,33.8815534 / -97.0531207,1500,2020-12-22,35,85,
401,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,LOVING,12/14/2021,H,CITRA 28-0-6-28 G 81HB,H&P 479,OIL & GAS,PHANTOM,WOLFCAMP,"14,000 ft",2021-11-30,42-301-35643,31.8329445 / -103.4146995,1500,2021-09-08,42,301,
402,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,LOVING,12/14/2021,H,BEARTOOTH 54-1-34 UNIT 71H,H&P 252,OIL & GAS,PHANTOM,WOLFCAMP,"13,000 ft",2021-12-07,42-301-35035,31.8989887 / -103.6474745,1500,2020-03-02,42,301,
403,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,LOVING,12/14/2021,H,CITRA 28-0-6-28 H 82HE,H&P 267,OIL & GAS,PHANTOM,WOLFCAMP,"14,000 ft",2021-11-30,42-301-35646,31.8332156 / -103.4143767,1500,2021-09-08,42,301,
404,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,LOVING,12/14/2021,H,BEARTOOTH 54-1-34 UNIT 14H,Ensign 774,OIL & GAS,PHANTOM,WOLFCAMP,"13,000 ft",2021-12-05,42-301-35038,31.8991072 / -103.6425591,1500,2020-03-10,42,301,
405,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,LOVING,12/14/2021,H,CITRA 28-0-6-28 E 16HD,Nabors X30,OIL & GAS,PHANTOM,WOLFCAMP,"14,000 ft",2021-12-03,42-301-35651,31.8360954 / -103.4079622,1500,2021-09-08,42,301,
406,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,LOVING,12/14/2021,H,DUSK 54-1-34 UNIT 14H,H&P 244,OIL & GAS,PHANTOM,WOLFCAMP,"14,000 ft",2021-12-07,42-301-35630,31.899115 / -103.6390437,1500,2021-08-24,42,301,
407,Permian - Delaware,MEWBOURNE OIL COMPANY,TX,LOVING,12/14/2021,H,RED BLUFF 57-T1-1X12 W102AP,Patterson 562,GAS,PHANTOM,WOLFCAMP,"10,618 ft",2021-12-12,42-301-35707,31.9994889 / -103.9075833,1500,2021-11-19,42,301,
408,Permian - Delaware,MEWBOURNE OIL COMPANY,TX,LOVING,12/14/2021,H,MITCHELL 46/39 C W101NC,Patterson 559,OIL & GAS,PHANTOM,WOLFCAMP,"12,320 ft",2021-12-11,42-301-35598,31.7514397 / -103.3289808,1500,2021-08-05,42,301,
409,Permian - Delaware,SHELL WESTERN E&P,TX,LOVING,12/14/2021,H,SWAPPORTUNITY 75-11 LOV UNIT 4H,Nabors X04,OIL & GAS,PHANTOM,WOLFCAMP,"12,500 ft",2021-10-28,42-301-35392,31.8784566 / -103.4157838,1500,2021-04-01,42,301,
410,Permian - Delaware,SHELL WESTERN E&P,TX,LOVING,12/14/2021,H,WAHOO 53-2-23 LOV UNIT 9H,Nabors X05,OIL & GAS,PHANTOM,WOLFCAMP,"12,200 ft",2021-12-02,42-301-35577,31.8845857 / -103.5688276,1500,2021-07-16,42,301,
411,Permian - Delaware,SHELL WESTERN E&P,TX,LOVING,12/14/2021,H,LINK-VJ RANCH 55-2-15 LOV NE 5H,Nabors X31,OIL & GAS,PHANTOM,WOLFCAMP,"11,400 ft",2021-12-03,42-301-35669,31.8417896 / -103.7504059,1500,2021-10-07,42,301,
412,Permian - Delaware,SHELL WESTERN E&P,TX,LOVING,12/14/2021,H,UNIVERSITY 20 PW UNIT 3001H,Nabors X48,OIL & GAS,PHANTOM,WOLFCAMP,"12,200 ft",2021-12-13,42-301-35515,31.8845768 / -103.5804594,1500,2021-06-22,42,301,
413,Permian - Delaware,"STATELINE WATER, LLC",TX,LOVING,12/14/2021,V,STATELINE 39 SWD 2,Charger 501,INJECTION,TUNSTILL,CHERRY CANYON -F-,"6,500 ft",2021-12-09,42-301-34987,31.9007636 / -103.8396573,1500,2020-02-07,42,301,
414,Permian - Delaware,"WPX ENERGY PERMIAN, LLC",TX,LOVING,12/14/2021,H,CBR 8-56-1 425H,Patterson 803,OIL & GAS,PHANTOM,WOLFCAMP,"16,000 ft",2021-12-08,42-301-35633,31.9701196 / -103.8756741,1500,2021-09-01,42,301,
415,Permian - Delaware,"WPX ENERGY PERMIAN, LLC",TX,LOVING,12/14/2021,H,CBR 8-5K-56-1 412H,Patterson 564,OIL & GAS,PHANTOM,WOLFCAMP,"16,000 ft",2021-11-30,42-301-35534,31.9695308 / -103.8828987,1500,2021-07-01,42,301,
416,Permian - Delaware,"WPX ENERGY PERMIAN, LLC",TX,LOVING,12/14/2021,H,LINDSAY 3-10O-55-1 442H,H&P 600,OIL & GAS,PHANTOM,WOLFCAMP,"16,000 ft",2021-11-30,42-301-35580,31.9995818 / -103.7393808,1500,2021-07-22,42,301,
417,Permian - Delaware,"WPX ENERGY PERMIAN, LLC",TX,LOVING,12/14/2021,H,REN STATE 13-14D 431H,Patterson 565,OIL & GAS,PHANTOM,WOLFCAMP,"16,000 ft",2021-12-01,42-301-35423,31.9739705 / -103.3552572,1500,2021-04-21,42,301,
418,Permian - Delaware,"WPX ENERGY PERMIAN, LLC",TX,LOVING,12/14/2021,H,CBR 8-5J-56-1 337H,H&P 314,OIL & GAS,SANDBAR,BONE SPRING,"16,000 ft",2021-12-09,42-301-35618,31.9700043 / -103.8767167,1500,2021-08-04,42,301,
419,Gulf Coast,"FREEPORT-MCMORAN ENERGY, LLC",LA,MAIN PASS OFFSHORE,12/14/2021,,OCS-G 09372 SW252 ST 3,Blake 651,UNKNOWN, , , ,2021-11-29,17-724-40669,29.2656765 / -88.7583084,650, ,17,724,
420,Anadarko,COMANCHE EXPLORATION CO LLC,OK,MAJOR,12/14/2021,H,HAWK 21-29-1JH,Atlas 3,OIL & GAS, ,MISSISSIPPIAN,"15,214 ft",2021-11-22,35-093-25227,36.189679 / -98.8134302,1000,2021-09-22,35,93,
421,Northeast,"HG ENERGY II APPALACHIA, LLC",WV,MARSHALL,12/14/2021,H,MND23 N-3H MND23 N-3H,Hall 6,UNKNOWN, ,MARCELLUS SHALE, ,2021-12-13,47-051-02409,39.8149574 / -80.7659054, ,2021-09-13,47,51,
422,Northeast,"SWN PRODUCTION COMPANY, LLC",WV,MARSHALL,12/14/2021,H,BETTY SCHAFER MSH 405H  ,SWN Drilling 40,UNKNOWN, ,MARCELLUS SHALE, ,2021-12-01,47-051-02383,39.9908295 / -80.6353641,1500,2021-05-13,47,51,
423,Northeast,"SWN PRODUCTION COMPANY, LLC",WV,MARSHALL,12/14/2021,H,O E BURGE MSH 205H O E BURGE MSH 205H,SWN Drilling 41,UNKNOWN, ,MARCELLUS SHALE, ,2021-12-01,47-051-02413,39.7508631 / -80.6317189,1500,2021-09-21,47,51,
424,Northeast,"TUG HILL OPERATING, LLC",WV,MARSHALL,12/14/2021,H,VAN WINKLE S-23HU  ,Falcon 24,UNKNOWN, ,MARCELLUS SHALE, ,2021-11-22,47-051-02356,39.7815748 / -80.7269007,850,2021-07-13,47,51,
425,Northeast,"TUG HILL OPERATING, LLC",WV,MARSHALL,12/14/2021,,MCMASTERS N-11HU  ,Nabors B28,UNKNOWN, , , ,2021-12-11,47-051-02317,39.7598267 / -80.7873001,1500, ,47,51,
426,Northeast,"TUG HILL OPERATING, LLC",WV,MARSHALL,12/14/2021,H,HUDSON S-14HU  ,Nabors X08,UNKNOWN, ,POINT PLEASANT, ,2021-11-22,47-051-02327,39.8287369 / -80.6727291,1500,2021-02-02,47,51,
427,Northeast,"TUG HILL OPERATING, LLC",WV,MARSHALL,12/14/2021,H,FITZGERALD S-5HM FITZGERALD S-5HM,Falcon 29,UNKNOWN, , , ,2021-11-29,47-051-02395,39.8012583 / -80.6413631, ,2021-08-26,47,51,
428,Northeast,"TUG HILL OPERATING, LLC",WV,MARSHALL,12/14/2021,H,OLD CROW N-4HM  ,Nabors X14,UNKNOWN, ,MARCELLUS SHALE, ,2021-11-25,47-051-02227,39.7784658 / -80.7632015,1500,2019-06-26,47,51,
429,Permian - Midland,"BIRCH OPERATIONS, INC.",TX,MARTIN,12/14/2021,H,DESERT DOOR 18-6 A 1WA,H&P 375,OIL & GAS,SPRABERRY,TREND AREA,"9,100 ft",2021-12-07,42-317-43862,32.4915397 / -101.7738645,1500,2021-10-22,42,317,
430,Permian - Midland,"BLACK SWAN OPERATING, LLC",TX,MARTIN,12/14/2021,H,BENDER A 252 1WA,Precision 608,OIL & GAS,SPRABERRY,TREND AREA,"13,000 ft",2021-12-04,42-317-43704,32.41697 / -101.967447,1500,2021-07-28,42,317,
431,Permian - Midland,"CUTBOW OPERATING, LLC",TX,MARTIN,12/14/2021,H,BIG HORN 25-36-A 03LS,H&P 488,OIL & GAS,SPRABERRY,TREND AREA,"8,426 ft",2021-12-07,42-317-43844,32.0910494 / -101.8748946,1500,2021-10-29,42,317,
432,Permian - Midland,DIAMONDBACK E&P LLC,TX,MARTIN,12/14/2021,H,SMITH JALONICK 16-21 B 1LS,Unit 408,OIL & GAS,SPRABERRY,TREND AREA,"13,000 ft",2021-12-10,42-317-43467,32.1085871 / -101.9370648,1500,2021-04-14,42,317,
433,Permian - Midland,DIAMONDBACK E&P LLC,TX,MARTIN,12/14/2021,H,SMITH JALONICK 16-21 J 3LS,Unit 413,OIL & GAS,SPRABERRY,TREND AREA,"13,000 ft",2021-12-09,42-317-43783,32.1092433 / -101.9313966,1500,2021-09-23,42,317,
434,Permian - Midland,DIAMONDBACK E&P LLC,TX,MARTIN,12/14/2021,H,SMITH JALONICK 16-21 E 2MS,H&P 460,OIL & GAS,SPRABERRY,TREND AREA,"13,000 ft",2021-12-09,42-317-43469,32.1086597 / -101.9350791,1500,2021-04-14,42,317,
435,Permian - Midland,DIAMONDBACK E&P LLC,TX,MARTIN,12/14/2021,H,CHABLIS 8 3JM,NorAm 23,OIL & GAS,SPRABERRY,TREND AREA,"10,010 ft",2021-11-18,42-317-43739,32.4375844 / -102.1659207,1500,2021-09-13,42,317,
436,Permian - Midland,DIAMONDBACK E&P LLC,TX,MARTIN,12/14/2021,H,SAGE 37-36 D 4WA,AKITA 802,OIL & GAS,SPRABERRY,TREND AREA,"10,340 ft",2021-12-01,42-317-43652,32.1639426 / -101.9004893,1800,2021-07-19,42,317,
437,Permian - Midland,"ELEMENT PETROLEUM OP III, LLC",TX,MARTIN,12/14/2021,H,EL DIABLO 79-78 6LS,Latshaw 5,OIL & GAS,SPRABERRY,TREND AREA,"9,500 ft",2021-12-10,42-317-43880,32.4710155 / -101.9366669,1500,2021-10-27,42,317,
438,Permian - Midland,ENDEAVOR ENERGY RESOURCES L.P.,TX,MARTIN,12/14/2021,H,HUGHES 43-47 UNIT 2 174,Independence 217,OIL,SPRABERRY,TREND AREA,"10,466 ft",2021-12-06,42-317-43789,32.3431861 / -101.7099083,1500,2021-09-20,42,317,
439,Permian - Midland,ENDEAVOR ENERGY RESOURCES L.P.,TX,MARTIN,12/14/2021,H,ANACONDA 5-4 UNIT 2 251,Independence 211,OIL,SPRABERRY,TREND AREA,"9,900 ft",2021-12-04,42-317-43728,32.2376846 / -102.0273258,1500,2021-08-13,42,317,
440,Permian - Midland,ENDEAVOR ENERGY RESOURCES L.P.,TX,MARTIN,12/14/2021,H,MCALPINE GRISHAM 47-35 UNIT 1A 144,Precision 563,OIL,SPRABERRY,TREND AREA,"9,000 ft",2021-12-03,42-317-43681,32.1711283 / -101.8055874,1500,2021-07-15,42,317,
441,Permian - Midland,ENDEAVOR ENERGY RESOURCES L.P.,TX,MARTIN,12/14/2021,H,MCALPINE GRISHAM 47-35 UNIT 1A 122,Ensign 765,OIL,SPRABERRY,TREND AREA,"9,000 ft",2021-12-12,42-317-43676,32.1719433 / -101.8015463,1500,2021-07-15,42,317,
442,Permian - Midland,ENDEAVOR ENERGY RESOURCES L.P.,TX,MARTIN,12/14/2021,H,ANACONDA 5-4 UNIT 2 175,Precision 580,OIL,SPRABERRY,TREND AREA,"9,900 ft",2021-11-25,42-317-43725,32.2368038 / -102.0311585,1500,2021-08-13,42,317,
443,Permian - Midland,ENDEAVOR ENERGY RESOURCES L.P.,TX,MARTIN,12/14/2021,H,HUGHES 43-47 UNIT 2 261,Precision 581,OIL,SPRABERRY,TREND AREA,"10,466 ft",2021-12-13,42-317-43794,32.3442543 / -101.7035294,1500,2021-09-21,42,317,
444,Permian - Midland,LARIO OIL & GAS COMPANY,TX,MARTIN,12/14/2021,H,EISENHOWER 203,H&P 370,OIL & GAS,SPRABERRY,TREND AREA) R 40 EXC,"10,150 ft",2021-12-07,42-317-41161,32.126422 / -101.8618754,1500,2017-12-19,42,317,
445,Permian - Midland,LEGACY RESERVES OPERATING LP,TX,MARTIN,12/14/2021,H,DR. ORSON I 3SH,Cactus 140,OIL & GAS,SPRABERRY,TREND AREA,"9,500 ft",2021-12-10,42-317-43778,31.9140768 / -102.2416414,1500,2021-09-24,42,317,
446,Permian - Midland,OVINTIV USA INC.,TX,MARTIN,12/14/2021,H,HOLT 319P 208HD,H&P 551,OIL & GAS,SPRABERRY,TREND AREA,"10,500 ft",2021-12-12,42-317-43898,32.3321844 / -102.1400322, ,2021-11-05,42,317,
447,Permian - Midland,"PETROLEGACY ENERGY II, LLC",TX,MARTIN,12/14/2021,H,SXSW E UNIT D 3WB,H&P 379,OIL & GAS,SPRABERRY,TREND AREA,"11,000 ft",2021-12-07,42-317-43858,32.4307261 / -101.960445,1500,2021-10-19,42,317,
448,Permian - Midland,"PETROLEGACY ENERGY II, LLC",TX,MARTIN,12/14/2021,H,SXSW W UNIT B 1WB,Scan Titan,OIL & GAS,SPRABERRY,TREND AREA,"11,000 ft",2021-12-02,42-317-43749,32.4294287 / -101.9632743,2000,2021-08-20,42,317,
449,Permian - Midland,"VENCER ENERGY, LLC",TX,MARTIN,12/14/2021,H,PETERS 1102C 6LB,Latshaw 19,OIL & GAS,SPRABERRY,TREND AREA,"9,500 ft",2021-11-19,42-317-43830,32.1432446 / -101.7940157,1500,2021-10-12,42,317,
450,Permian - Midland,"VENCER ENERGY, LLC",TX,MARTIN,12/14/2021,H,PETERS 1102E 11A,Latshaw 9,OIL & GAS,SPRABERRY,TREND AREA,"9,500 ft",2021-12-06,42-317-43824,32.1437166 / -101.7920363,1700,2021-10-12,42,317,
451,Permian - Midland,XTO ENERGY INC.,TX,MARTIN,12/14/2021,H,STRAIN 19 UNIT 2 0002,H&P 439,SERVICE,SPRABERRY,TREND AREA,"10,200 ft",2021-12-07,42-317-43773,32.2583488 / -101.7977163,1500,2021-10-05,42,317,
452,Gulf Coast,"ARALUEN ENERGY, INC.",TX,MATAGORDA,12/14/2021,V,ARALUEN B 01,Energy 6,OIL & GAS,MARKHAM, ,"6,500 ft",2021-12-06,42-321-32435,29.0078501 / -96.1648153,750,2020-10-12,42,321,
453,Gulf Coast,"UNDERGROUND SERVICES MARKHAM,LLC",TX,MATAGORDA,12/14/2021,V,HUDSON 2,RFC 104,INJECTION,MARKHAM, ,"7,400 ft",2021-10-27,42-321-32441,28.9904638 / -96.1419056,2000,2021-05-21,42,321,
454,Anadarko,NATIVE EXPLORATION OPERATING LLC,OK,MCCLAIN,12/14/2021,H,CHARLES 0804 34-3 3WXH,Cactus 164,OIL & GAS, ,WOODFORD,"20,530 ft",2021-12-10,35-087-22327,35.1285612 / -97.6094056,1500,2021-10-26,35,87,
455,Anadarko,OVINTIV USA INC,OK,MCCLAIN,12/14/2021,H,WENDLING 0704 3H-30XX,H&P 530,OIL & GAS, ,WOODFORD, ,2021-11-11,35-087-22324,35.0567293 / -97.663157,1500,2021-10-05,35,87,
456,Bakken,"CONTINENTAL RESOURCES, INC.",ND,MCKENZIE,12/14/2021,H,CHAROLAIS SOUTH FEDERAL 5-10H1,Nabors B27,CONFIDENTIAL,ELM TREE, , ,2021-12-13,33-053-09551,48.0819455 / -102.7593277,1500,2020-10-16,33,53,
457,Bakken,"GRAYSON MILL OPERATING, LLC",ND,MCKENZIE,12/14/2021,H,JAY 24-13F XE 1H,Patterson 811,OIL & GAS,BANKS,BAKKEN,"21,774 ft",2021-12-11,33-053-09776,48.0521246 / -103.2189789,1500,2021-10-12,33,53,
458,Bakken,"IRON OIL OPERATING, LLC",ND,MCKENZIE,12/14/2021,H,ANTELOPE 5-17-20H,Nabors B18,OIL & GAS,SATHER LAKE,BAKKEN,"21,493 ft",2021-12-04,33-053-09747,47.7316582 / -103.6416727,1500,2021-10-18,33,53,
459,Bakken,OASIS PETROLEUM NORTH AMERICA,ND,MCKENZIE,12/14/2021,H,SOTO 5097 12-3 5B,Nabors B13,OIL & GAS,SIVERSTON,BAKKEN,"21,186 ft",2021-12-08,33-053-09722,47.8466866 / -103.0823593,1500,2021-06-01,33,53,
460,Bakken,OASIS PETROLEUM NORTH AMERICA LLC,ND,MCKENZIE,12/14/2021,H,LINDVIG BECK FEDERAL 5201 41-2 5B,Nabors B26,OIL & GAS,CAMP,BAKKEN, ,2021-11-23,33-053-09760,48.0103908 / -103.5784477,1500,2021-08-31,33,53,
461,Bakken,OVINTIV PRODUCTION INC.,ND,MCKENZIE,12/14/2021,H,WISNESS STATE 152-96-16-21-6H,H&P 516,UNKNOWN,WESTBERG, , ,2021-12-02,33-053-09767,47.9893541 / -102.9721713,1500,2021-09-08,33,53,
462,Bakken,"PETRO-HUNT DAKOTA, LLC",ND,MCKENZIE,12/14/2021,H,MONGOOSE 149-102-8D-5-2H,H&P 515,UNKNOWN, , , ,2021-12-07,33-053-06111,47.7333641 / -103.7586594,1500, ,33,53,
463,Bakken,TRUE OIL LLC,ND,MCKENZIE,12/14/2021,H,RED WING CREEK UNIT 32-27A,True 39,OIL & GAS,RED WING CREEK,MADISON,"9,996 ft",2021-12-04,33-053-09772,47.6130724 / -103.5331821, ,2021-09-22,33,53,
464,Eagleford,"BLACKBRUSH O & G, LLC",TX,MCMULLEN,12/14/2021,H,OTTO-WHIPPLE 2H,H&P 420,GAS,HAWKVILLE,EAGLEFORD SHALE,"12,000 ft",2021-12-07,42-311-37187,28.2858265 / -98.6781614,1500,2021-11-23,42,311,
465,Eagleford,VERDUN OIL & GAS LLC,TX,MCMULLEN,12/14/2021,H,DOUGHBOYS 2H,Patterson 273,OIL & GAS,EAGLEVILLE,EAGLE FORD-1,"12,000 ft",2021-12-10,42-311-37185,28.3604885 / -98.7765363,1500,2021-11-18,42,311,
466,Permian - Midland,APACHE CORPORATION,TX,MIDLAND,12/14/2021,H,PARKS-COYOTE 1506 E 12HS,Patterson 274,OIL & GAS,SPRABERRY,TREND AREA,"12,000 ft",2021-12-12,42-329-45039,31.7836187 / -102.1610333,1500,2021-07-16,42,329,
467,Permian - Midland,APACHE CORPORATION,TX,MIDLAND,12/14/2021,H,PARKS-COYOTE 1506 A 15HJ,Pioneer 80,OIL & GAS,SPRABERRY,TREND AREA,"12,000 ft",2021-12-11,42-329-45033,31.7813928 / -102.1697294,1500,2021-07-14,42,329,
468,Permian - Midland,CHEVRON U. S. A. INC.,TX,MIDLAND,12/14/2021,H,CMC SUNFLOWER A 0271WB,Patterson 812,OIL & GAS,SPRABERRY,TREND AREA,"9,800 ft",2021-12-08,42-329-45092,31.7418119 / -101.9611394,1500,2021-09-07,42,329,
469,Permian - Midland,CHEVRON U. S. A. INC.,TX,MIDLAND,12/14/2021,H,CMC SUNFLOWER F 0286WA,Patterson 814,OIL & GAS,SPRABERRY,TREND AREA,"9,800 ft",2021-12-12,42-329-45081,31.7442028 / -101.950743,1500,2021-08-11,42,329,
470,Permian - Midland,CHEVRON U. S. A. INC.,TX,MIDLAND,12/14/2021,H,CMC CANDLESTICK F 0096WA,Patterson 258,OIL & GAS,SPRABERRY,TREND AREA,"10,000 ft",2021-11-30,42-329-43886,31.8198844 / -102.0119177,1000,2019-11-26,42,329,
471,Permian - Midland,"CROWNQUEST OPERATING, LLC",TX,MIDLAND,12/14/2021,,MENDELEEV I 104LS,Advanced Energy 37,UNKNOWN, , , ,2021-12-12,42-329-45281,31.859478 / -101.7728271,500, ,42,329,
