,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id,Unnamed: 0,Unnamed: 0.1
265,North Slope,CONOCOPHILLIPS ALASKA INC,AK,HARRISON BAY,12/20/2021,V,GMTU MT7-05,Doyon 25,OIL,GREATER MOOSES TOOTH,RENDEZVOUS OIL, ,2021-11-30,50-103-20833,70.1728636 / -151.693997,1800,2021-11-03,50,103,,
266,Anadarko,"FORTAY, INC.",TX,HARTLEY,12/20/2021,V,JOANN 3,Quest 222,OIL & GAS,"HARTLEY WEST,LATHEM, S.,WILDCAT","CANYON, DES MOINES","9,000 ft",2021-12-11,42-205-30417,35.8620634 / -102.3575728,750,2021-09-09,42,205,,
267,Anadarko,"PALMER OIL, INC.",KS,HASKELL,12/20/2021,V,RICHARDSON 11-1,Duke 9,OIL,UNNAMED,ST. LOUIS,"5,600 ft",2021-12-03,15-081-22239,37.6228307 / -101.0024757,375,2021-12-01,15,81,,
268,Barnett,"S.B. STREET OPERATING, INC.",TX,HASKELL,12/20/2021,V,JAMES LEE NORMAN 3,Smalley 7,OIL & GAS,"HASKELL COUNTY REGULAR,OLD GLORY, E.","BEND CONGL., STRAWN","6,000 ft",2021-12-16,42-207-32996,33.2170558 / -99.9861969,475,2021-12-03,42,207,,
269,Anadarko,"BLACKBEARD OPERATING, LLC",TX,HEMPHILL,12/20/2021,H,LITTLE 30-43 ME EX 1H,Nabors 893,GAS,HEMPHILL,GRANITE WASH.,"12,000 ft",2021-12-04,42-211-35657,35.7898058 / -100.4093383,1500,2021-09-15,42,211,,
270,Austin Chalk,"MUD CREEK OPERATING, LLC",TX,HOUSTON,12/20/2021,V,LORNA HYATT 1,MKS 103,OIL,WILDCAT, ,"2,000 ft",2021-12-16,42-225-31422,31.5431889 / -95.3929056, ,2021-12-08,42,225,,
271,Permian - Midland,BAYSWATER OPERATING COMPANY LLC,TX,HOWARD,12/20/2021,H,FORTRESS OF SOLITUDE 16-9-4 H 1WB,Independence 214,OIL & GAS,SPRABERRY,TREND AREA,"7,500 ft",2021-12-09,42-227-41314,32.3488193 / -101.3638276, ,2021-10-06,42,227,,
272,Permian - Midland,BAYSWATER OPERATING COMPANY LLC,TX,HOWARD,12/20/2021,H,FORTRESS OF SOLITUDE 16-9-4 H 3WB,Independence 203,OIL & GAS,SPRABERRY,TREND AREA,"7,500 ft",2021-12-09,42-227-41324,32.3494437 / -101.3609145,1500,2021-10-07,42,227,,
273,Permian - Midland,"BIRCH OPERATIONS, INC.",TX,HOWARD,12/20/2021,H,ROWDY THE COWBOY 42-30 C 4WA,H&P 248,OIL & GAS,SPRABERRY,TREND AREA,"8,200 ft",2021-12-15,42-227-41288,32.1681446 / -101.8095516,1500,2021-09-08,42,227,,
274,Permian - Midland,"CROWNQUEST OPERATING, LLC",TX,HOWARD,12/20/2021,H,BUFFALO 1HA,NorAm 22,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-12-14,42-227-41189,32.1989724 / -101.6461546,1500,2021-06-25,42,227,,
275,Permian - Midland,"CROWNQUEST OPERATING, LLC",TX,HOWARD,12/20/2021,H,YAMAHA PACIFICA F 9DN,NorAm 34,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-11-11,42-227-41248,32.2877931 / -101.6116245,1500,2021-08-11,42,227,,
276,Permian - Midland,"CROWNQUEST OPERATING, LLC",TX,HOWARD,12/20/2021,H,S WILKINSON 4311HA,NorAm 27,OIL & GAS,SPRABERRY,TREND AREA,"10,000 ft",2021-12-13,42-227-41208,32.2002261 / -101.6405726,1800,2021-07-08,42,227,,
277,Permian - Midland,DIAMONDBACK E&P LLC,TX,HOWARD,12/20/2021,H,NICHOLS WEST D 1LS,AKITA 803,OIL & GAS,SPRABERRY,TREND AREA,"7,860 ft",2021-12-07,42-227-41348,32.3690089 / -101.6790103,1800,2021-10-21,42,227,,
278,Permian - Midland,ENDEAVOR ENERGY RESOURCES L.P.,TX,HOWARD,12/20/2021,H,COACHWHIP 17-20 261,Ensign T140,OIL & GAS,"BIG SPRING,SPRABERRY","STRAWN, TREND AREA","11,000 ft",2021-12-09,42-227-41266,32.1732044 / -101.6513443,1500,2021-09-01,42,227,,
279,Permian - Midland,"HIGHPEAK ENERGY HOLDINGS, LLC",TX,HOWARD,12/20/2021,H,OLDHAM TRUST SWD 1H,Pioneer 87,INJECTION,SPRABERRY,TREND AREA,"9,800 ft",2021-12-10,42-227-41419,32.4529591 / -101.3141211, ,2021-11-18,42,227,,
280,Permian - Midland,"HIGHPEAK ENERGY HOLDINGS, LLC",TX,HOWARD,12/20/2021,H,POWELL 27-15 A UNIT D 1H,Latshaw 45,OIL & GAS,SPRABERRY,TREND AREA,"8,700 ft",2021-12-01,42-227-41421,32.2057848 / -101.3136251,1500,2021-11-23,42,227,,
281,Permian - Midland,"HIGHPEAK ENERGY HOLDINGS, LLC",TX,HOWARD,12/20/2021,H,WHITE 19-26 A UNIT L 4H,Patterson 255,OIL & GAS,SPRABERRY,TREND AREA,"6,200 ft",2021-12-01,42-227-41349,32.48441 / -101.3081956,1500,2021-10-25,42,227,,
282,Permian - Midland,"LAREDO PETROLEUM, INC.",TX,HOWARD,12/20/2021,H,JOSEPHINE 37-36 2AH,H&P 386,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-12-14,42-227-41260,32.3911172 / -101.4271957,1500,2021-09-27,42,227,,
283,Permian - Midland,"LAREDO PETROLEUM, INC.",TX,HOWARD,12/20/2021,H,SATNIN 37-36 4SH,Nabors M7507,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-12-14,42-227-41263,32.3886649 / -101.437433,1150,2021-09-30,42,227,,
284,Permian - Midland,"LAREDO PETROLEUM, INC.",TX,HOWARD,12/20/2021,H,FIRE EYES 47-38 3NA,H&P 651,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-12-14,42-227-41385,32.4853336 / -101.4748808,1500,2021-11-05,42,227,,
285,Permian - Midland,"MURCHISON OIL AND GAS, LLC",TX,HOWARD,12/20/2021,H,DEACON JIM UNIT 6-7 3HA,Latshaw 11,OIL,SPRABERRY,TREND AREA,"7,258 ft",2021-12-10,42-227-41308,32.4944057 / -101.4381993,1000,2021-09-21,42,227,,
286,Permian - Midland,OVINTIV USA INC.,TX,HOWARD,12/20/2021,H,MATTERHORN 24D 1HF,H&P 553,OIL & GAS,SPRABERRY,TREND AREA,"8,900 ft",2021-12-07,42-227-41294,32.4310832 / -101.3859867, ,2021-09-03,42,227,,
287,Permian - Midland,OXY USA INC.,TX,HOWARD,12/20/2021,H,TURNER CONNALLY 2183CP 3H,H&P 480,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-12-14,42-227-41113,32.1863401 / -101.5351078,1500,2021-05-18,42,227,,
288,Permian - Midland,SINCLAIR OIL & GAS COMPANY,TX,HOWARD,12/20/2021,H,STEERS NATION MIPA 3WA,Unit 401,OIL & GAS,SPRABERRY,TREND AREA) R 40 EXC,"9,000 ft",2021-12-15,42-227-41438,32.2708809 / -101.48114,1500,2021-12-01,42,227,,
289,Permian - Midland,SM ENERGY COMPANY,TX,HOWARD,12/20/2021,H,HALPERT E 0748WA,Ensign T57,OIL & GAS,SPRABERRY,TREND AREA,"10,500 ft",2021-12-07,42-227-41326,32.294282 / -101.5797188, ,2021-10-14,42,227,,
290,Permian - Midland,SM ENERGY COMPANY,TX,HOWARD,12/20/2021,H,VIZZINI 2746WA,Pioneer 74,OIL & GAS,SPRABERRY,TREND AREA,"10,000 ft",2021-12-05,42-227-41276,32.3789312 / -101.4063205,1500,2021-09-01,42,227,,
291,Permian - Midland,"SURGE OPERATING, LLC",TX,HOWARD,12/20/2021,H,GUARDIAN UNIT 12-22 6SH,Latshaw 10,OIL & GAS,SPRABERRY,TREND AREA,"8,500 ft",2021-12-06,42-227-41377,32.4804777 / -101.3650395,1500,2021-11-04,42,227,,
292,Permian - Midland,"TRIPLE CROWN RESOURCES, LLC",TX,IRION,12/20/2021,H,ASSAULT S396H,AKITA 22,OIL & GAS,LIN,WOLFCAMP,"9,000 ft",2021-12-09,42-235-36485,31.3431553 / -101.0820941,1500,2021-09-29,42,235,,
293,Barnett,"HW OPERATING, LLC",TX,JACK,12/20/2021,V,R. W. RIDER 6,LLP Lindemann 3,OIL & GAS,"BARTONS CHAPEL, S.,JACK COUNTY REGULAR,NORTHRIDGE","ATOKA CONGL., GAS, STRAWN","5,000 ft",2021-12-15,42-237-40601,33.0324164 / -98.2216966,450,2021-12-13,42,237,,
294,Mississippi,"VENTURE OIL & GAS, INC.",MS,JASPER,12/20/2021,V,HERRING 13-9 2,D&D 3,OIL,VERBA,MOORINGSPORT OIL POOL,"9,025 ft",2021-12-05,23-061-21256,32.0980198 / -89.1206939,450,2021-11-30,23,61,,
295,Gulf Coast,ZARVONA ENERGY LLC,TX,JASPER,12/20/2021,H,DAVID GLENN UNIT 3H,Big E 5,GAS,MAGNOLIA SPRINGS,AUSTIN CHALK,"14,000 ft",2021-12-18,42-241-30914,30.7763564 / -94.2989514,1500,2021-11-19,42,241,,
296,Northeast,ASCENT RESOURCES UTICA LLC,OH,JEFFERSON,12/20/2021,H,GABRIEL SW WEL JF 2H,Patterson 581,OIL & GAS, ,"UTICA SHALE, POINT PLEASANT FORMATION", ,2021-12-07,34-081-20924,40.25434 / -80.722626,1500,2021-09-21,34,81,,
297,Northeast,"ASCENT RESOURCES UTICA, LLC",OH,JEFFERSON,12/20/2021,,SATORI N WEL JF 3H,Patterson 578,UNKNOWN, , , ,2021-12-09,34-081-20932,40.2602425 / -80.7343063,1200, ,34,81,,
298,Northeast,GULFPORT APPALACHIA LLC,OH,JEFFERSON,12/20/2021,H,EXTREME 211733 1A,Falcon 39,OIL & GAS, ,"UTICA SHALE, POINT PLEASANT FORMATION", ,2021-11-24,34-081-20927,40.198858 / -80.724444,1000,2021-09-27,34,81,,
299,Gulf Coast,"KEBO OIL & GAS, INC.",TX,JIM WELLS,12/20/2021,V,ADAMS HEIRS 1,Price 1,OIL & GAS,DUNN,"FRIO, LOU ELLA","6,000 ft",2021-12-06,42-249-32659,28.0054399 / -97.8723698,400,2021-10-11,42,249,,
300,Barnett,DELTA OIL & GAS LTD.,TX,JONES,12/20/2021,V,MANSKE 1,Rockin R 1,OIL & GAS,"FLAT TOP JC,HAMLIN, NORTH,WILDCAT","STRAWN, UPPER, SWASTIKA","5,300 ft",2021-12-14,42-253-35661,32.9376276 / -99.9943289,600,2021-10-22,42,253,,
301,Barnett,"DJ & T SERVICES, LLC",TX,JONES,12/20/2021,V,REEVES 1A,Petrowest 1,OIL & GAS,"JONES COUNTY REGULAR,MIGHTY QUINN,MONA BETH,POLAND","GAS, KING SAND, PALO PINTO, PALO PINTO REEF, STRAWN","4,800 ft",2021-12-17,42-253-35657,32.6268374 / -99.9908496,575,2021-11-23,42,253,,
302,Barnett,SOJOURNER DRILLING CORPORATION,TX,JONES,12/20/2021,V,"AMERSON, C.P. 12",MCG Drilling 2,OIL & GAS,"FLAT TOP JC,HAMLIN,HAMLIN, EAST,WILDCAT","STRAWN, UPPER, SWASTIKA, TANNEHILL SAND","5,300 ft",2021-12-16,42-253-35659,32.9349785 / -99.9974846,800,2021-11-03,42,253,,
303,Mississippi,VENTURE OIL & GAS INC,MS,JONES,12/20/2021,V,HOLIFIELD 21-9 1,RAPAD 36,OIL,GLADE CROSSING,HOSSTON,"17,000 ft",2021-12-07,23-067-20744,31.6429803 / -89.0984147,1500,2021-11-18,23,67,,
304,Eagleford,BPX OPERATING COMPANY,TX,KARNES,12/20/2021,H,DZIUK A-SCHENDEL A 189 SA 2 2H,H&P 512,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"14,000 ft",2021-12-09,42-255-37266,28.9433935 / -97.7308137,1500,2021-08-05,42,255,,
305,Eagleford,BURLINGTON RESOURCES O & G CO LP,TX,KARNES,12/20/2021,H,GROSE A-KARNES B USW D 1,H&P 384,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"17,500 ft",2021-12-02,42-255-37021,28.9677972 / -97.7839771,1500,2020-10-07,42,255,,
306,Eagleford,BURLINGTON RESOURCES O & G CO LP,TX,KARNES,12/20/2021,H,WILLEKE UNIT B 3,H&P 494,OIL & GAS,SUGARKANE,EAGLE FORD,"17,000 ft",2021-12-14,42-255-37343,28.9680369 / -97.7227986,1500,2021-11-15,42,255,,
307,Eagleford,"EOG RESOURCES, INC.",TX,KARNES,12/20/2021,H,WHITESIDE A 1H,H&P 503,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"11,500 ft",2021-12-07,42-255-37321,28.8579671 / -98.0733014,1500,2021-10-29,42,255,,
308,Eagleford,"EOG RESOURCES, INC.",TX,KARNES,12/20/2021,H,GAMERA F 6H,Nabors 1207,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"11,900 ft",2021-12-10,42-255-37300,28.8541389 / -98.0370634, ,2021-09-13,42,255,,
309,Eagleford,"INPEX EAGLE FORD, LLC",TX,KARNES,12/20/2021,H,WIATREK UNIT 16H,Patterson 247,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"11,000 ft",2021-12-11,42-255-37294,29.05023 / -97.8022418,1500,2021-09-13,42,255,,
310,Eagleford,MAGNOLIA OIL & GAS OPERATING LLC,TX,KARNES,12/20/2021,H,KEYS UNIT 108H,Patterson 285,OIL & GAS,SUGARKANE,AUSTIN CHALK,"12,500 ft",2021-12-17,42-255-36688,29.0352996 / -97.8197232,1500,2019-11-18,42,255,,
311,Eagleford,MARATHON OIL EF LLC,TX,KARNES,12/20/2021,H,MURPHY-KOTARA-BARBOZA SA 1H,H&P 539,OIL & GAS,SUGARKANE,EAGLE FORD, ,2021-12-14,42-255-37337,28.8303778 / -97.9334615,1500,2021-11-17,42,255,,
312,Eagleford,MARATHON OIL EF LLC,TX,KARNES,12/20/2021,H,BROWN-DUPNIK B UNIT 2H,Nabors X39,OIL,EAGLEVILLE,EAGLE FORD-2,"22,000 ft",2021-12-15,42-255-37317,28.8508132 / -97.992515,1500,2021-09-21,42,255,,
313,Eagleford,MARATHON OIL EF LLC,TX,KARNES,12/20/2021,H,MEDINA-JONAS UNIT A 502H,H&P 514,OIL,EAGLEVILLE,EAGLE FORD-2,"22,000 ft",2021-12-12,42-255-37297,28.893562 / -97.9747603,1500,2021-09-09,42,255,,
314,Eagleford,MURPHY EXPL. & PROD. CO. - USA,TX,KARNES,12/20/2021,H,CANNON DOVE WEST PSA A 1H,Nabors X19,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"13,000 ft",2021-12-18,42-255-37201,28.9367354 / -97.8910717,1500,2021-05-26,42,255,,
315,Eagleford,MURPHY EXPL. & PROD. CO. - USA,TX,KARNES,12/20/2021,H,BELLAH PATTON WILSON PSA A 1H,Ensign T137,OIL,EAGLEVILLE,EAGLE FORD-2,"13,000 ft",2021-12-14,42-255-37145,28.9311452 / -97.8756247,1500,2021-03-23,42,255,,
316,Eagleford,VALIDUS NRG AQUILAS ASSETCO LLC,TX,KARNES,12/20/2021,H,BERDIE UNIT 101H,H&P 300,OIL,SUGARKANE,AUSTIN CHALK,"12,000 ft",2021-12-07,42-255-37261,28.9234376 / -97.986048,1500,2021-08-04,42,255,,
317,DJ Basin,"CARBON VENTURES, LLC",NE,KEARNEY,12/20/2021,V,TEST WELL 1,Ensign 161,UNKNOWN,WILDCAT,TOP OF PRECAMBRIAN,"4,500 ft",2021-12-10,26-099-21007,40.4819693 / -99.0742296,1500,2021-11-06,26,99,,
318,Offshore,"LLOG EXPLORATION OFFSHORE, L.L.C.",GOM,KEATHLEY CANYON,12/20/2021,D,001  ,West Neptune,OIL & GAS, , , ,2021-10-01,60-808-40067,26.1832628 / -92.114755,6900,2021-09-30,60,808,,
319,Barnett,"WEST TEXAS OIL AND GAS OPER.,INC",TX,KENT,12/20/2021,V,KRONOS 5A 8,Robinson 11,OIL,"CLAIREMONT, EAST",STRAWN,"9,000 ft",2021-10-31,42-263-32146,33.2051582 / -100.6362418,1000,2021-10-29,42,263,,
320,West Coast,"CALIFORNIA RESOURCES ELK HILLS, LLC",CA,KERN,12/20/2021,U,UNSPECIFIED 601H-5D,Ensign 540,OIL,BUENA VISTA,ANTELOPE SHALE-EAST DOME, ,2021-12-11,04-030-69006,35.170653 / -119.4198495,900,2021-01-27,4,30,,
321,West Coast,"CALIFORNIA RESOURCES ELK HILLS, LLC",CA,KERN,12/20/2021,U,UNSPECIFIED 24H-28S,Ensign 536,OIL,ELK HILLS,UPPER (UNDIFFERENTIATED), ,2021-12-11,04-030-68547,35.2660848 / -119.3492031,900,2020-06-05,4,30,,
322,West Coast,CALIFORNIA RESOURCES PRODUCTION CORPORATION,CA,KERN,12/20/2021,U,GLIDE-2 1108TVH,Ensign 532,OIL,MOUNT POSO,VEDDER, ,2021-12-09,04-030-68587,35.5838779 / -118.9574355,628,2020-06-10,4,30,,
323,West Coast,CHEVRON U.S.A. INC.,CA,KERN,12/20/2021,U,MCPHEE 0521Z,Ensign 509,INJECTION,CYMRIC,CYMRIC, ,2021-12-12,04-030-64767,35.3546796 / -119.6740745,300,2018-10-22,4,30,,
324,West Coast,MACPHERSON OIL COMPANY,CA,KERN,12/20/2021,,USL 18 102,Ensign 548,UNKNOWN, , , ,2021-12-17,04-030-26220,35.4885597 / -118.8874207,900, ,4,30,,
325,DJ Basin,ADVANTAGE RESOURCES INC,NE,KIMBALL,12/20/2021,V,STATE 16-16,Murfin 120,OIL,WILDCAT,PENNSYLVANIAN,"8,150 ft",2021-11-02,26-105-22765,37.5870929 / -100.1557464,450,2021-08-24,26,105,,
326,Anadarko,HINKLE OIL & GAS INC,OK,KINGFISHER,12/20/2021,H,LINCOLN SOUTHEAST OSWEGO UNIT 37-3HO,Atlas 2,OIL & GAS, ,OSWEGO,"11,947 ft",2021-12-15,35-073-26797,35.9423001 / -97.7551678,1000,2021-11-19,35,73,,
327,Anadarko,HINKLE OIL & GAS INC,OK,KINGFISHER,12/20/2021,H,LINCOLN SOUTHEAST OSWEGO UNIT 59-1HO,Power Rig 3,OIL & GAS, ,OSWEGO,"11,319 ft",2021-12-10,35-073-26789,35.9273757 / -97.7526614,1200,2021-09-10,35,73,,
328,Anadarko,OVINTIV USA INC,OK,KINGFISHER,12/20/2021,H,WINTERS 1709 3H-31XX,H&P 548,OIL & GAS, ,MISSISSIPPIAN (LESS CHESTER),"24,451 ft",2021-12-02,35-073-26794,35.9538762 / -98.1976814, ,2021-11-03,35,73,,
329,Anadarko,TAPSTONE ENERGY LLC,OK,KINGFISHER,12/20/2021,H,BEVERLY 27-17-7 3HC,Power Rig 8,OIL & GAS, ,OSWEGO,"17,700 ft",2021-12-02,35-073-26644,35.9137793 / -97.9370166,1500,2021-08-19,35,73,,
330,Sedgwick,"STEFFEN RESOURCE DEVELOPMENT, LLC",KS,KINGMAN,12/20/2021,V,JESSICA 4-21,Fossil 3,OIL & GAS,SPIVEY-GRABS-BASIL,MISSISSIPPIAN,"4,300 ft",2021-12-03,15-095-22343,37.4409474 / -98.1291722,750,2021-10-26,15,95,,
331,Sedgwick,VINCENT OIL CORPORATION,KS,KINGMAN,12/20/2021,V,MALONEY 1-15,Duke 7,GAS,WILDCAT,"LKC, MISSISSIPPIAN, SIMPSON, VIOLA","4,480 ft",2021-12-08,15-095-22324,37.6065536 / -98.1861117,450,2018-06-20,15,95,,
332,Eagleford,BPX OPERATING COMPANY,TX,LA SALLE,12/20/2021,H,STS 15H,Patterson 585,GAS,HAWKVILLE,EAGLEFORD SHALE,"14,000 ft",2021-12-13,42-283-37116,28.2773423 / -98.9333284,1500,2021-09-14,42,283,,
333,Eagleford,CALLON (EAGLE FORD) LLC,TX,LA SALLE,12/20/2021,H,BROWN TRUST 88H,Patterson 561,OIL & GAS,EAGLEVILLE,EAGLE FORD-1,"11,000 ft",2021-12-17,42-283-37139,28.4891439 / -99.0964994,1500,2021-10-21,42,283,,
334,Eagleford,CHEYENNE PETROLEUM COMPANY,TX,LA SALLE,12/20/2021,H,IRVIN 15H,Ensign 776,OIL & GAS,EAGLEVILLE,EAGLE FORD-1,"8,400 ft",2021-12-16,42-283-36966,28.5850672 / -98.926041,1500,2020-01-22,42,283,,
335,Eagleford,"ESCONDIDO RESOURCES OPER CO, LLC",TX,LA SALLE,12/20/2021,H,STOREY REED A 13H,Nabors 1205,OIL,TRES ENCANTO,ESCONDIDO,"8,000 ft",2021-12-16,42-283-37142,28.3209587 / -98.9737385, ,2021-10-25,42,283,,
336,Eagleford,VENADO OPERATING COMPANY LLC,TX,LA SALLE,12/20/2021,H,SCHORP 307 E307,Patterson 299,OIL & GAS,EAGLEVILLE,EAGLE FORD-1,"9,000 ft",2021-12-14,42-283-37128,28.6358446 / -98.9127226,1500,2021-10-06,42,283,,
337,DJ Basin,LONGS PEAK RESOURCES LLC,WY,LARAMIE,12/20/2021,H,BILLY 3526-14CH,AKITA 518,OIL,WC,CODELL SAND,"18,382 ft",2021-12-16,49-021-28744,41.2172832 / -104.5202941,1500,2021-09-10,49,21,,
338,DJ Basin,SAMSON EXPLORATION LLC,WY,LARAMIE,12/20/2021,H,LASSO 0708 8H,Cyclone 37,OIL,WC,CODELL SAND,"19,225 ft",2021-12-16,49-021-29311,41.2824822 / -104.7132738,1500,2020-09-02,49,21,,
339,Eagleford,"FORZA OPERATING, LLC",TX,LAVACA,12/20/2021,V,VICK 1,Energy 1,OIL & GAS,"SPEAKS, SW.,WILDCAT","WILCOX -A-, WILCOX -E-, YEGUA","9,600 ft",2021-12-09,42-285-34203,29.2493982 / -96.795429,750,2021-11-01,42,285,,
340,Permian - Delaware,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",NM,LEA,12/20/2021,H,ANDERSON FED COM 601H,Nabors X50,OIL,RED TANK,BONE SPRING,"19,808 ft",2021-12-06,30-025-49001,32.4274956 / -103.651859, ,2021-06-09,30,25,,
341,Permian - Delaware,"AMEREDEV OPERATING, LLC",NM,LEA,12/20/2021,H,GOLDEN BELL FED COM 26 36 06 127H,Nabors X49,OIL,WC,WOLFCAMP,"23,008 ft",2021-11-29,30-025-49177,31.7680568 / -103.7533592,1500,2021-07-14,30,25,,
342,Permian - Delaware,"AMEREDEV OPERATING, LLC",NM,LEA,12/20/2021,H,PAR THREE 25 36 06 FED COM 103H,H&P 657,OIL,WEST JAL,WOLFCAMP,"22,427 ft",2021-12-07,30-025-46890,32.1662679 / -103.3054319,1500,2020-02-22,30,25,,
343,Permian - Delaware,"AMEREDEV OPERATING, LLC",NM,LEA,12/20/2021,H,DOGWOOD FED COM 25 36 20 112H,Nabors X12,OIL,WEST JAL,WOLFCAMP,"22,356 ft",2021-11-29,30-025-49528,32.1090624 / -103.2923015,1500,2021-11-05,30,25,,
344,Permian - Delaware,"AMEREDEV OPERATING, LLC",NM,LEA,12/20/2021,H,GOLDEN BELL FED COM 26 36 06 106H,Citadel 3,OIL,WC,WOLFCAMP,"22,387 ft",2021-12-02,30-025-49397,32.0801916 / -103.3011284, ,2021-09-23,30,25,,
345,Permian - Delaware,"BTA OIL PRODUCERS, LLC",NM,LEA,12/20/2021,H,SOUTH RIDGE 8030 2-11 STATE COM 4H,Patterson 566,OIL,SOUTH OJO CHISO,BONE SPRING,"11,358 ft",2021-12-02,30-025-48541,32.3394989 / -103.4437381,1500,2021-03-11,30,25,,
346,Permian - Delaware,"CATENA RESOURCES OPERATING, LLC",NM,LEA,12/20/2021,H,RAMBO E2 08 17 STATE COM 001H,Scan Vision,OIL,SCHARB,WOLFCAMP,"22,000 ft",2021-11-17,30-025-49535,32.6828134 / -103.4750319,1500,2021-11-08,30,25,,
347,Permian - Delaware,"CAZA OPERATING, LLC",NM,LEA,12/20/2021,H,SIOUX 25-36 STATE FED COM 3H,Citadel 4,OIL,WC,UPR WOLFCAMP,"22,400 ft",2021-12-10,30-025-47333,32.108003 / -103.3240009, ,2020-06-26,30,25,,
348,Permian - Delaware,"CENTENNIAL RESOURCE PRODUCTION, LLC",NM,LEA,12/20/2021,H,CHIMICHANGAS 12 STATE COM 503H,H&P 313,OIL,OJO CHISO,BONE SPRING,"20,411 ft",2021-12-14,30-025-49582,32.4109318 / -103.4193299,1500,2021-11-23,30,25,,
349,Permian - Delaware,CHEVRON USA INCORPORATED,NM,LEA,12/20/2021,H,DL 15 22 NARWHAL FED COM 219H,Patterson 815,OIL,WILDCAT,BONE SPRING,"20,543 ft",2021-12-17,30-025-49081,32.4014028 / -103.5630684,1500,2021-06-23,30,25,,
350,Permian - Delaware,"CHISHOLM ENERGY OPERATING, LLC",NM,LEA,12/20/2021,H,ANACONDA 11-14 FED 3BS COM 7H,Scan Patriot,OIL,TEAS,BONE SPRING,"21,140 ft",2021-12-17,30-025-48540,32.5940855 / -103.6305733,1200,2021-03-10,30,25,,
351,Permian - Delaware,CIMAREX ENERGY CO. OF COLORADO,NM,LEA,12/20/2021,H,RED HILLS UNIT 21H,Cactus 148,GAS,BOBCAT DRAW,UPPER WOLFCAMP,"22,104 ft",2021-12-14,30-025-48443,32.0930974 / -103.5715555,1500,2021-02-03,30,25,,
352,Permian - Delaware,CIMAREX ENERGY CO. OF COLORADO,NM,LEA,12/20/2021,H,RED HILLS UNIT 99H,Unit 411,GAS,WC,UPPER WOLFCAMP,"22,106 ft",2021-12-19,30-025-49108,32.0931059 / -103.575947,1500,2021-06-25,30,25,,
353,Permian - Delaware,CIMAREX ENERGY CO. OF COLORADO,NM,LEA,12/20/2021,H,RED HILLS 32 5 STATE COM 198H,Cactus 163,OIL,WC,UPR WOLFCAMP,"22,205 ft",2021-12-08,30-025-48095,32.0930693 / -103.5870109,1500,2020-12-03,30,25,,
354,Permian - Delaware,COG OPERATING LLC,NM,LEA,12/20/2021,H,BEDLINGTON FEDERAL COM 701H,Nabors X09,OIL,WC-025 G-08 S243217P,UPR WOLFCAMP,"22,456 ft",2021-12-14,30-025-48323,32.2545226 / -103.6483538,1500,2021-01-06,30,25,,
355,Permian - Delaware,COG OPERATING LLC,NM,LEA,12/20/2021,H,DOMINATOR 25 FEDERAL COM 304H,Nabors 894,OIL,RED HILLS,UPPER BONE SPRING SHALE, ,2021-12-07,30-025-44858,32.0950596 / -103.5240605, ,2018-05-31,30,25,,
356,Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",NM,LEA,12/20/2021,H,RIGHT MEOW 30-31 FED COM 621H,H&P 265,OIL,WC,UPR WOLFCAMP,"21,937 ft",2021-12-09,30-025-48448,32.2814842 / -103.7205663,1500,2021-02-04,30,25,,
357,Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",NM,LEA,12/20/2021,H,WHITE DOVE 17 FED COM 23H,Cactus 108,OIL,WEST ANTELOPE RIDGE,BONE SPRING,"16,424 ft",2021-12-09,30-025-49433,32.3108203 / -103.4862592,2500,2021-10-05,30,25,,
358,Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",NM,LEA,12/20/2021,H,WHITE DOVE 17 FED COM 22H,H&P 269,OIL,WC,WOLFCAMP,"16,362 ft",2021-12-14,30-025-49432,32.3109061 / -103.4984742,1500,2021-10-05,30,25,,
359,Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",NM,LEA,12/20/2021,H,SEAWOLF 12-1 FED 5H,Nabors M7505,OIL,WC,LOWER WOLFCAMP,"23,687 ft",2021-10-30,30-025-49127,32.0522537 / -103.5232778,1150,2021-07-01,30,25,,
